fold,domain,user_id,mediator,head,eff_dof,ccc,srocc,plcc,n_train,seed,stage2_variant
0,art,3,population,ridge,,0.06964822288304581,0.10003716909823884,0.0959782035284279,10,0,C
0,art,3,emotion,ridge,0.5514070544003733,0.059607820202246205,0.10733664911569112,0.09246669686541512,10,0,C
0,art,3,emotion_mlp,ridge,0.606737137790414,0.04656684991556337,0.07862862703363042,0.07102402190753347,10,0,C
0,art,3,emotion_joint,ridge,0.21029568005182622,0.05608246561742739,0.08955335216042144,0.08378430279081767,10,0,C
0,art,14,population,ridge,,0.3209064608976412,0.6387189479847772,0.6318511710460395,10,0,C
0,art,14,emotion,ridge,0.5495734152863216,0.49379305078856844,0.6013663817755424,0.6037846124198254,10,0,C
0,art,14,emotion_mlp,ridge,0.6037433209333114,0.45052437507278703,0.6027074978495441,0.6122532958599174,10,0,C
0,art,14,emotion_joint,ridge,0.20949028523948354,0.47406054626837935,0.6528751732103518,0.630804394418464,10,0,C
0,art,15,population,ridge,,0.16769024056229012,0.22654084980961536,0.2301194673630514,10,0,C
0,art,15,emotion,ridge,0.5430090563928955,0.19502641601386672,0.21289317085952839,0.22488840615872868,10,0,C
0,art,15,emotion_mlp,ridge,0.5740712901408002,0.18104504976826227,0.23493125165441595,0.20509473948714388,10,0,C
0,art,15,emotion_joint,ridge,0.209020851966024,0.2051140848343532,0.2461892591930091,0.22346962274073795,10,0,C
0,art,19,population,ridge,,0.5000568926529513,0.5763815116948287,0.5774936904421142,10,0,C
0,art,19,emotion,ridge,0.5511016061876619,0.4994714076263881,0.5881535616091497,0.5894462770251123,10,0,C
0,art,19,emotion_mlp,ridge,0.5738353909599833,0.47269626934066156,0.5739871964580177,0.5723226423523815,10,0,C
0,art,19,emotion_joint,ridge,0.20965656300992844,0.4636129971313908,0.5849112597259681,0.5731447347878644,10,0,C
0,art,21,population,ridge,,0.2580568768668414,0.46201014511087224,0.4633574374355779,10,0,C
0,art,21,emotion,ridge,0.5126410446334667,0.3288419867545015,0.475187442957492,0.47100721109024385,10,0,C
0,art,21,emotion_mlp,ridge,0.6087747146963269,0.29428530286805327,0.427658639655753,0.44606283080909126,10,0,C
0,art,21,emotion_joint,ridge,0.20714369663658788,0.28797549800681516,0.44827960193481436,0.45012702967102514,10,0,C
0,art,22,population,ridge,,0.28930882123100365,0.41978599884486145,0.42412436094508793,10,0,C
0,art,22,emotion,ridge,0.5347621646241167,0.2674348279718833,0.40547179289956004,0.418681984091351,10,0,C
0,art,22,emotion_mlp,ridge,0.588440435026327,0.33493865770237463,0.41715685897735716,0.4161951346243819,10,0,C
0,art,22,emotion_joint,ridge,0.2060297849075559,0.29767574367320215,0.4280629206499678,0.4272845089442592,10,0,C
0,art,30,population,ridge,,-0.1871930522823207,-0.21670274638038162,-0.209789289190621,10,0,C
0,art,30,emotion,ridge,0.5568059691650431,-0.1462760643576859,-0.23861039509021942,-0.22102140492358696,10,0,C
0,art,30,emotion_mlp,ridge,0.5958414783238271,-0.16364378553898326,-0.21235088839738905,-0.21550639914317268,10,0,C
0,art,30,emotion_joint,ridge,0.21015201553032276,-0.15645517639355308,-0.2184335989872537,-0.2093225840741635,10,0,C
0,art,50,population,ridge,,0.49479714370919925,0.4833905830178234,0.5183750889914902,10,0,C
0,art,50,emotion,ridge,0.5469954674300102,0.45634610958907423,0.48086580086495556,0.5192008998410588,10,0,C
0,art,50,emotion_mlp,ridge,0.5972625436831482,0.4746379136801548,0.48249638933868266,0.5157395965670858,10,0,C
0,art,50,emotion_joint,ridge,0.2085554477742968,0.46839930523335616,0.48491597223518107,0.5147066661539189,10,0,C
0,art,57,population,ridge,,0.4651306783433301,0.5106581584154437,0.5381881438116533,10,0,C
0,art,57,emotion,ridge,0.5457710911536017,0.45227763689497325,0.5502758325568238,0.5580990060063287,10,0,C
0,art,57,emotion_mlp,ridge,0.5820955671882203,0.43188490950812536,0.4832263343892743,0.5041376347392152,10,0,C
0,art,57,emotion_joint,ridge,0.2085031142120333,0.44504610123102956,0.5004395307403566,0.5363984286209362,10,0,C
0,art,62,population,ridge,,0.2660499430315511,0.494897441611381,0.5166444389199399,10,0,C
0,art,62,emotion,ridge,0.5192286984134626,0.35208891121352764,0.5250657124653764,0.5376430854456176,10,0,C
0,art,62,emotion_mlp,ridge,0.5833630422939314,0.35131312006334847,0.5315127654537505,0.5206289085355708,10,0,C
0,art,62,emotion_joint,ridge,0.20900838748617012,0.379560866014486,0.5099077558209546,0.5244875634300789,10,0,C
0,art,63,population,ridge,,0.11741563878998972,0.15671605517522624,0.1638334330266923,10,0,C
0,art,63,emotion,ridge,0.514372912577495,0.12026553625168587,0.14815698604876065,0.16764644007671625,10,0,C
0,art,63,emotion_mlp,ridge,0.6166546468755106,0.18434505426277809,0.19425583204568925,0.21313038071148493,10,0,C
0,art,63,emotion_joint,ridge,0.20598221296714045,0.15054044840867714,0.1737340873565028,0.17353574349987452,10,0,C
0,art,79,population,ridge,,0.45545134141491234,0.4647452203784049,0.5143667620567981,10,0,C
0,art,79,emotion,ridge,0.5369811167724639,0.44266037747198966,0.47211567394450665,0.5133945816568,10,0,C
0,art,79,emotion_mlp,ridge,0.5890711460773362,0.45632638553718996,0.47252231965849845,0.5185162901873183,10,0,C
