n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.8033826669602205,0.40307566563533404,0.17770390948391615,0.009033197379603933,False,False,0.4118637570244303,0.17545657232047937,0.008918958811444121,False,False
10,identity,ridge,387,2.347118834338592,0.4045308036592659,0.1784341524301,0.009070317714700103,False,False,0.41463462036328746,0.1733356025865851,0.008811143860731587,True,False
10,pca,ridge,387,0.6682841912948547,0.40734107341436865,0.17671581289038868,0.008982969606982782,True,False,0.41631161340122524,0.17268608968466037,0.008778127264412886,True,True
10,population,ridge,387,,0.40609656037299996,0.17871339527637004,0.009084512426310698,False,False,0.4134395141646292,0.17526028348505215,0.008908980889185819,False,False
10,random,ridge,387,0.4237586444004091,0.4039441187989556,0.17854248472221207,0.009075824554589417,False,False,0.4110946501528477,0.17482240281970685,0.00888672216403867,False,False
10,shuffled,ridge,387,0.3556575660583954,0.40426404442664626,0.17537789862079012,0.008914959602535659,False,False,0.4113536314842382,0.17259558739599173,0.008773526774534954,False,False
25,emotion,ridge,387,1.3150309867583208,0.40607678422328763,0.18020014201070222,0.009160088010121475,False,False,0.4134069660015557,0.17619686348584127,0.008956589926226636,False,False
25,identity,ridge,387,5.962938481164288,0.4187249407994923,0.17856135753566868,0.009076783913612847,True,True,0.42731565201678334,0.17389288477272322,0.008839472106284217,True,True
25,pca,ridge,387,1.699282379209665,0.42018931744123444,0.17744142401024365,0.009019854493114557,True,True,0.4282666227185339,0.17222773413931497,0.008754827742623154,True,True
25,population,ridge,387,,0.40609656037299996,0.17871339527637004,0.009084512426310698,False,False,0.4134395141646292,0.17526028348505215,0.008908980889185819,False,False
25,random,ridge,387,0.7799297107724736,0.4046275326280292,0.1775959789673931,0.009027710963115592,False,False,0.4125398169702637,0.17413077632351387,0.008851564813414144,False,False
25,shuffled,ridge,387,0.8620542945699751,0.40664653624918723,0.17630600850403347,0.008962138079304382,True,False,0.4139960336342226,0.17350752108517847,0.008819882969147992,True,False
50,emotion,ridge,387,2.253414293150489,0.41239003091152354,0.18236788595086875,0.00927028062736233,True,True,0.41873659105231015,0.17873527667545502,0.009085624720336478,True,True
50,identity,ridge,387,10.172614745532428,0.43323971879736844,0.17582188396221163,0.008937528645807463,True,True,0.44129419346555965,0.17243131470297288,0.008765176324258267,True,True
50,pca,ridge,387,3.1121023194047193,0.42811796435874483,0.17461434090335304,0.008876145782443797,True,True,0.43605610279698614,0.16977413467829824,0.008630104272631854,True,True
50,population,ridge,387,,0.40609656037299996,0.17871339527637004,0.009084512426310698,False,False,0.4134395141646292,0.17526028348505215,0.008908980889185819,False,False
50,random,ridge,387,1.4578283723615466,0.4085111753629524,0.1746899380590526,0.008879988601832263,True,True,0.41555870458903466,0.17197892836806494,0.008742180234487777,True,True
50,shuffled,ridge,387,1.4255868002584229,0.4095177292136482,0.1755075245895818,0.008921548860841894,True,True,0.4169035100329049,0.17368563711152663,0.008828937115605132,True,True
100,emotion,ridge,387,4.2515252596725706,0.4229147602662129,0.18281186144043893,0.009292849169836385,True,True,0.43197049607324406,0.17991219410654974,0.0091454507955503,True,True
100,identity,ridge,387,18.701759724318613,0.44921421914285414,0.1765493997627382,0.008974510352299023,True,True,0.45741522747876345,0.1747829191563831,0.008884715096635883,True,True
100,pca,ridge,387,4.406153766910276,0.440766069797448,0.17311565548910385,0.008799963321426688,True,True,0.44824342736836154,0.17017063427213314,0.008650259479697614,True,True
100,population,ridge,387,,0.40609656037299996,0.17871339527637004,0.009084512426310698,False,False,0.4134395141646292,0.17526028348505215,0.008908980889185819,False,False
100,random,ridge,387,2.2534271017922074,0.40843871878765586,0.17546812523480815,0.008919546079083558,True,False,0.41689705484737083,0.17296689939701784,0.008792401624302894,True,True
100,shuffled,ridge,387,2.530382008698401,0.415338902128916,0.1702860113804415,0.00865612442771966,True,True,0.4229087890093856,0.16966690474287768,0.008624653468682356,True,True
