n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.5044009975388599,0.41787860828469275,0.1799066925222471,0.009145171134303395,False,False,0.42678296571142615,0.1732143792731081,0.008804981733399511,True,False
10,emotion_joint,ridge,387,0.13308358961808986,0.41649608873349964,0.1801406883665935,0.009157065811545594,False,True,0.42469153990410946,0.1744143479847224,0.008865979571054526,False,True
10,emotion_mlp,ridge,387,0.12804832136976185,0.4167146651250633,0.18002480430605616,0.0091511750936935,False,True,0.42542482021397626,0.1740522481728191,0.008847573003176873,False,False
10,population,ridge,387,,0.4179076642219481,0.17999278231278035,0.00914954732429558,False,False,0.42640685033629,0.1739898574531446,0.008844401504659411,False,False
25,emotion,ridge,387,1.294591996022344,0.4138592659680158,0.1914176041878438,0.009730303658379525,False,False,0.42146889505101376,0.18597622276008083,0.009453702695590113,False,False
25,emotion_joint,ridge,387,0.23973633826861418,0.41527094979721807,0.17979543226865757,0.009139515457767646,False,True,0.4242949243880183,0.1739383692737157,0.008841784213408766,False,True
25,emotion_mlp,ridge,387,0.2040935761522117,0.4169574911518739,0.17956669930392097,0.009127888307730888,False,False,0.42550294254740806,0.17359129021034406,0.008824141193089914,False,False
25,population,ridge,387,,0.4179076642219481,0.17999278231278035,0.00914954732429558,False,False,0.42640685033629,0.1739898574531446,0.008844401504659411,False,False
50,emotion,ridge,387,2.379212475082085,0.42449840376801073,0.18039598403562482,0.009170043219725386,True,True,0.4313046398852066,0.1748016299268592,0.00888566621855169,True,True
50,emotion_joint,ridge,387,0.2807769742670883,0.41678519918275786,0.1797527207254766,0.00913734430801038,False,False,0.42515513343658656,0.17380904602067945,0.00883521034300917,False,False
50,emotion_mlp,ridge,387,0.3784254766904749,0.4169734900566852,0.17954680928330768,0.009126877241161752,False,False,0.42515785349686913,0.173360236069396,0.008812396051035244,False,True
50,population,ridge,387,,0.4179076642219481,0.17999278231278035,0.00914954732429558,False,False,0.42640685033629,0.1739898574531446,0.008844401504659411,False,False
100,emotion,ridge,387,4.156844434592694,0.4335982836786554,0.17844752565197436,0.009070997513772296,True,True,0.4411918723107953,0.1750017000558335,0.008895836354763303,True,True
100,emotion_joint,ridge,387,0.4550219202567519,0.4158725713590866,0.1800316562581794,0.009151523397994427,False,True,0.42465614061176665,0.17386842790784762,0.00883822889397477,False,False
100,emotion_mlp,ridge,387,0.34701698351654325,0.4172089751223678,0.18066750266618323,0.009183845287384996,False,False,0.42562254609876865,0.1745062449205377,0.00887065095483112,False,False
100,population,ridge,387,,0.4179076642219481,0.17999278231278035,0.00914954732429558,False,False,0.42640685033629,0.1739898574531446,0.008844401504659411,False,False
