n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.6867941441631756,0.4063230778449619,0.18138023465696154,0.009220075490592996,False,False,0.41391127742067574,0.1763908178649896,0.00896644918140326,False,False
10,identity,ridge,387,2.320071257797723,0.41100709336338576,0.17764304471023792,0.009030103449280751,True,True,0.41911498662921615,0.17189270224360084,0.008737797114252412,True,True
10,pca,ridge,387,0.45885884330269977,0.4080642232553618,0.1800954757798803,0.00915476752660066,True,False,0.41623049260522027,0.17508484891362355,0.008900063048742562,True,True
10,population,ridge,387,,0.40743220561462196,0.18023848348033567,0.00916203701655599,False,False,0.4150120728281575,0.17452407231651246,0.00887155717229742,False,False
25,emotion,ridge,387,1.1831655136270294,0.4077907182964895,0.18471769225940157,0.009389727994898926,True,False,0.4143879718106227,0.17817187236531007,0.009056985269731033,False,False
25,identity,ridge,387,5.7183215604283735,0.42256948815057077,0.17859242473017595,0.009078363147861715,True,True,0.42930264183864186,0.17346425332379245,0.008817683545230373,True,True
25,pca,ridge,387,1.358183013290552,0.41688353595623084,0.17851915355691805,0.009074638564805573,True,True,0.4257313236632867,0.17221868279072589,0.008754367636716682,True,True
25,population,ridge,387,,0.40743220561462196,0.18023848348033567,0.00916203701655599,False,False,0.4150120728281575,0.17452407231651246,0.00887155717229742,False,False
50,emotion,ridge,387,2.192617978085196,0.41365775042396224,0.18859695849936312,0.009586922180076817,True,True,0.41954086472920904,0.18308762727175956,0.009306867134844046,True,True
50,identity,ridge,387,12.201051310230694,0.4328328132532254,0.18192369078017598,0.00924770091786923,True,True,0.44059401358321,0.17705566366062309,0.009000245192511842,True,True
50,pca,ridge,387,3.5177706004635514,0.4312882206583783,0.1748094429696957,0.008886063377839195,True,True,0.43727591224490947,0.1689338370253187,0.008587389542387447,True,True
50,population,ridge,387,,0.40743220561462196,0.18023848348033567,0.00916203701655599,False,False,0.4150120728281575,0.17452407231651246,0.00887155717229742,False,False
100,emotion,ridge,387,3.8567110088014283,0.4246602059789463,0.18602432608773892,0.00945614792515548,True,True,0.42962898271962807,0.18344393138385032,0.009324979090743202,True,True
100,identity,ridge,387,18.19175376260727,0.4489332410177596,0.17731236655428514,0.009013294133939745,True,True,0.45621279937057596,0.17579324858625836,0.00893607302784286,True,True
100,pca,ridge,387,4.595944941837882,0.44091923295680674,0.17424687618688975,0.008857466501141022,True,True,0.4489195530699003,0.16974673924187908,0.008628711684336,True,True
100,population,ridge,387,,0.40743220561462196,0.18023848348033567,0.00916203701655599,False,False,0.4150120728281575,0.17452407231651246,0.00887155717229742,False,False
