n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.7188224352579096,0.4298552917226113,0.18895704936690833,0.00960522662757364,False,False,0.43649900089534327,0.1847475217059588,0.009391244310883522,False,False
10,emotion_joint,ridge,387,0.13045245249903925,0.4349258200712773,0.17408221947009533,0.008849096529838752,False,False,0.44244545216366865,0.16921864786714336,0.008601867291118608,False,False
10,emotion_mlp,ridge,387,0.11657198885969632,0.43552945751594685,0.17459584200270714,0.008875205430476723,False,False,0.44302273450128565,0.1702057433837294,0.008652044176138974,False,False
10,population,ridge,387,,0.43611488669566123,0.17456962446206453,0.008873872717988177,False,False,0.4436984009765592,0.16993945235343125,0.008638507842334685,False,False
25,emotion,ridge,387,1.283526905702033,0.4379792279588271,0.1815375263541371,0.009228071076907818,True,True,0.4438294725118808,0.17777685522119546,0.009036905419819585,True,False
25,emotion_joint,ridge,387,0.25583488154689504,0.4348011558154958,0.17432633697956104,0.00886150572023431,False,False,0.44255663020372543,0.16975531948256808,0.008629147842482062,False,False
25,emotion_mlp,ridge,387,0.32276788493672454,0.43378279747938375,0.1736249201614914,0.008825850699580022,False,True,0.44184399246796946,0.16926240784136792,0.008604091735620954,False,True
25,population,ridge,387,,0.43611488669566123,0.17456962446206453,0.008873872717988177,False,False,0.4436984009765592,0.16993945235343125,0.008638507842334685,False,False
50,emotion,ridge,387,2.120038997932593,0.4447020884676045,0.1754318899188763,0.008917704134458505,True,True,0.4513895755062345,0.1716156288146014,0.008723712680319223,True,True
50,emotion_joint,ridge,387,0.49736822162783184,0.43438105990963694,0.172327158152996,0.00875988174927085,False,False,0.441769460619497,0.1685826672183673,0.008569538577886091,False,False
50,emotion_mlp,ridge,387,0.6091114066547857,0.4339302840343759,0.17190347441220344,0.008738344694356172,False,True,0.44180969591985264,0.16819630130938765,0.008549898494971207,False,False
50,population,ridge,387,,0.43611488669566123,0.17456962446206453,0.008873872717988177,False,False,0.4436984009765592,0.16993945235343125,0.008638507842334685,False,False
100,emotion,ridge,387,3.908969008325592,0.44817094690348996,0.1814747855319652,0.009224881781680247,True,True,0.456695743299583,0.17720509049107128,0.009007840985182737,True,True
100,emotion_joint,ridge,387,0.8345779294656581,0.43575310576310355,0.17081697812159805,0.008683114984026505,False,False,0.4429696623293776,0.1677120832949807,0.008525284309995756,False,False
100,emotion_mlp,ridge,387,1.0643590077903191,0.43315076967446137,0.17303804582136717,0.008796018200302078,False,False,0.4407705269421258,0.16947671197351757,0.008614985426877352,False,False
100,population,ridge,387,,0.43611488669566123,0.17456962446206453,0.008873872717988177,False,False,0.4436984009765592,0.16993945235343125,0.008638507842334685,False,False
