fold,domain,user_id,mediator,head,eff_dof,ccc,srocc,plcc,seed,stage2_variant
0,art,3,population,mlp,,-0.009600641655020246,0.023270154418052615,-0.011978231214499917,1,C
0,art,3,identity,mlp,,0.18816654387279033,0.15324009056772336,0.2225737941157324,1,C
0,art,3,random,mlp,,0.07811535767723402,0.07652206568631198,0.088462522866631,1,C
0,art,3,shuffled,mlp,,-0.01095912176592067,-0.008769173980697723,-0.012087236483612804,1,C
0,art,3,pca,mlp,,0.10112924280666896,0.11782046605350853,0.1161206286492553,1,C
0,art,3,emotion,mlp,,0.09467486908911264,0.1467244473306686,0.13180078634434275,1,C
0,art,14,population,mlp,,0.3285790885999605,0.5844285824705567,0.592841269179662,1,C
0,art,14,identity,mlp,,0.4889831538817285,0.5036635922362269,0.49489596651886736,1,C
0,art,14,random,mlp,,0.4739230167578969,0.5073889146640096,0.5305035751964047,1,C
0,art,14,shuffled,mlp,,0.4197434983442355,0.5240783591404763,0.5181471668657467,1,C
0,art,14,pca,mlp,,0.44904016147192183,0.5199059980213596,0.49489268368702405,1,C
0,art,14,emotion,mlp,,0.43301118831491453,0.5495098935808066,0.5116175341793227,1,C
0,art,15,population,mlp,,0.2188139778437116,0.3345008937999923,0.2956432129661033,1,C
0,art,15,identity,mlp,,-0.06615431404626428,-0.00961178945511964,-0.0666895739706179,1,C
0,art,15,random,mlp,,0.10465441971744664,0.12755534956462639,0.10512969989507522,1,C
0,art,15,shuffled,mlp,,0.19229124995532668,0.19531581003276263,0.19730138720408685,1,C
0,art,15,pca,mlp,,0.16852823122789942,0.22505394315357474,0.17936068319127563,1,C
0,art,15,emotion,mlp,,0.053158368140859,0.1744460130390498,0.0637260624403031,1,C
0,art,19,population,mlp,,0.43436258114036774,0.5002123582237769,0.4962356662872784,1,C
0,art,19,identity,mlp,,0.5019507689177827,0.5853103122654365,0.5723959386990471,1,C
0,art,19,random,mlp,,0.44956119826422897,0.5012099895724481,0.47856317160150064,1,C
0,art,19,shuffled,mlp,,0.4680279389836225,0.5266495889635656,0.509588981386923,1,C
0,art,19,pca,mlp,,0.5208899034336337,0.596234375533387,0.5992831263580394,1,C
0,art,19,emotion,mlp,,0.41475382526877297,0.4984166217961686,0.48518292202581,1,C
0,art,21,population,mlp,,0.23961608913508547,0.4054785314482748,0.3745769926507516,1,C
0,art,21,identity,mlp,,0.45398232053077175,0.4277089346857019,0.47656697602623654,1,C
0,art,21,random,mlp,,0.49170583464883844,0.5095892434425603,0.5139242926250017,1,C
0,art,21,shuffled,mlp,,0.32989752956405044,0.31097417017423507,0.4117040031646502,1,C
0,art,21,pca,mlp,,0.4073068585877654,0.4232326770202471,0.45321031422372093,1,C
0,art,21,emotion,mlp,,0.3591206820575612,0.4552706110977156,0.44701591314756245,1,C
0,art,22,population,mlp,,0.3283708270164987,0.4396019234017925,0.4383482945921112,1,C
0,art,22,identity,mlp,,0.45482026123552716,0.4309354993940929,0.4807894961378407,1,C
0,art,22,random,mlp,,0.3339741082881898,0.3002088226487377,0.349256853502021,1,C
0,art,22,shuffled,mlp,,0.19101180377805813,0.23910566461692356,0.2191049195299402,1,C
0,art,22,pca,mlp,,0.4630924178141229,0.4818629123831587,0.47154102837281153,1,C
0,art,22,emotion,mlp,,0.3986508341264517,0.4261154096370016,0.42866088784591017,1,C
0,art,30,population,mlp,,-0.257501751957295,-0.31402611581821616,-0.28673349728763375,1,C
0,art,30,identity,mlp,,0.09965361096529195,0.10212030380545142,0.10584469865509324,1,C
0,art,30,random,mlp,,-0.07915089206582898,-0.07482228554849782,-0.08530901366393956,1,C
0,art,30,shuffled,mlp,,0.046075802869120795,0.027001300667204103,0.05337614838406185,1,C
0,art,30,pca,mlp,,0.2662906364288426,0.29503619007424847,0.3013521673487939,1,C
0,art,30,emotion,mlp,,0.24999994286675967,0.3348458000323058,0.3653971119802025,1,C
0,art,50,population,mlp,,0.37031614922792944,0.3797693154938721,0.3867919570419709,1,C
0,art,50,identity,mlp,,0.6509864664039523,0.5429859617511416,0.652707343391919,1,C
0,art,50,random,mlp,,0.530633649494875,0.5042200357789832,0.5376035297140189,1,C
0,art,50,shuffled,mlp,,0.481647625447405,0.46782109307513836,0.4996405274081919,1,C
0,art,50,pca,mlp,,0.5111372713447905,0.44530845221206666,0.5610611059004734,1,C
0,art,50,emotion,mlp,,0.3841706942412352,0.35883466347634285,0.421590296472101,1,C
0,art,57,population,mlp,,0.45803921108577705,0.5454670665920769,0.5400415683704868,1,C
0,art,57,identity,mlp,,0.5346191064054807,0.509455966924257,0.5382449962921728,1,C
0,art,57,random,mlp,,0.37224164008299654,0.35879951505145036,0.3770962980137189,1,C
0,art,57,shuffled,mlp,,0.3661291415557896,0.34175025390371155,0.3688259093477305,1,C
0,art,57,pca,mlp,,0.44748517724629217,0.4967236661312342,0.4484232774102408,1,C
0,art,57,emotion,mlp,,0.43530670766370627,0.4912045142853315,0.4783868070763041,1,C
