n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.5439657780432917,0.417496465074778,0.1804997307655789,0.009175316962390281,False,False,0.42673712894180876,0.17500093731774638,0.008895797582607362,False,False
10,emotion_hist,ridge,387,0.8049804291282221,0.4154806352388565,0.18529059866841763,0.00941885046433537,False,False,0.4253081820362497,0.17864985651324156,0.009081282569464767,False,False
10,emotion_sd,ridge,387,0.6421201101134172,0.4194519569193969,0.18053823034846644,0.009177274006173198,True,False,0.42926051480191946,0.1740714245102687,0.008848547791191964,True,True
10,population,ridge,387,,0.4186340339399463,0.1803525111215451,0.009167833367310271,False,False,0.42725820313080953,0.17411320522397333,0.008850671624227776,False,False
25,emotion,ridge,387,1.0545444576554956,0.4166203850863471,0.1874277503414402,0.009527487989241997,False,False,0.4247011726313105,0.18113162029962246,0.00920743771257354,False,False
25,emotion_hist,ridge,387,1.6820748814376838,0.41967027666749906,0.18313648266543228,0.00930935059407342,True,True,0.43039635572711404,0.1781352695202202,0.00905512464254893,True,True
25,emotion_sd,ridge,387,1.353649056256474,0.42063103653204786,0.18156090380975398,0.009229259419761012,True,False,0.43004746429208646,0.17540539591868212,0.008916357368741171,True,True
25,population,ridge,387,,0.4186340339399463,0.1803525111215451,0.009167833367310271,False,False,0.42725820313080953,0.17411320522397333,0.008850671624227776,False,False
50,emotion,ridge,387,2.0706555202725965,0.4267540943584277,0.17682661492799154,0.008988601991090908,True,True,0.43469760957502623,0.16997515019961204,0.00864032246583686,True,True
50,emotion_hist,ridge,387,3.2863964198675166,0.4335577746717506,0.17214610318813475,0.008750678208173197,True,True,0.4438792153630984,0.168562621151629,0.00856851957904663,True,True
50,emotion_sd,ridge,387,2.5070263924433784,0.4316684308266993,0.17487641957652206,0.008889467990101445,True,True,0.4405166681047246,0.16982256122567732,0.008632565932379006,True,True
50,population,ridge,387,,0.4186340339399463,0.1803525111215451,0.009167833367310271,False,False,0.42725820313080953,0.17411320522397333,0.008850671624227776,False,False
100,emotion,ridge,387,4.263997790601114,0.4335908732621104,0.17828318087460018,0.009062643399241899,True,True,0.441176758158198,0.1744364589237781,0.00886710353325276,True,True
100,emotion_hist,ridge,387,6.412521354701353,0.44287615823812415,0.17458428009785937,0.00887461770582352,True,True,0.4535018713638044,0.1716434059485004,0.0087251246713884,True,True
100,emotion_sd,ridge,387,4.680312256280872,0.43781793935464414,0.17523955304712469,0.008907927101803718,True,True,0.4443217524259385,0.17364599005221168,0.008826921742317325,True,True
100,population,ridge,387,,0.4186340339399463,0.1803525111215451,0.009167833367310271,False,False,0.42725820313080953,0.17411320522397333,0.008850671624227776,False,False
