n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.7481044303017171,0.3254966410450056,0.2504420898673132,0.012730686885291654,False,True,0.33222737509826433,0.2522251821998744,0.012821326562453857,False,True
10,identity,ridge,387,2.130946647551877,0.22312568640155397,0.2151549020205036,0.010936938319392813,False,True,0.22797107836787708,0.21319733809674454,0.010837429752823499,False,True
10,pca,ridge,387,1.3653316052789815,0.19505170547863282,0.20897689264546537,0.010622892453661225,False,True,0.19973560890286696,0.21123436720076105,0.0107376463344095,False,True
10,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.4265928502826286,0.17378927344550174,0.008834205246527038,False,False
10,random,ridge,387,2.282684477847968,0.07947596308922977,0.12456745490979639,0.006332119594571715,False,True,0.08136641227540875,0.12410819515846043,0.006308774109408368,False,True
10,shuffled,ridge,387,3.2477015900960193,0.10870052037410216,0.1431523170260666,0.007276841228758313,False,True,0.11218440919049419,0.1444436140000244,0.007342481542892774,False,True
25,emotion,ridge,387,1.077300863778429,0.37953720213424547,0.20656798490111183,0.010500440791302208,False,True,0.3901484902301137,0.2045652657498085,0.01039863685551838,False,True
25,identity,ridge,387,3.191088737816812,0.2928917350590625,0.2133052921836038,0.010842917367459366,False,True,0.303394903786204,0.21061411129634672,0.010706116954854987,False,True
25,pca,ridge,387,3.5845425986451662,0.2717377612028263,0.20262006691809317,0.010299756841901965,False,True,0.28022533981217196,0.2029268264985016,0.010315350307718005,False,True
25,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.4265928502826286,0.17378927344550174,0.008834205246527038,False,False
25,random,ridge,387,2.0996026582311047,0.13167162574272934,0.13240494250675558,0.006730521479083648,False,True,0.1342092103209563,0.13276893516569294,0.006749024265783485,False,True
25,shuffled,ridge,387,4.064355177443,0.1706015954558703,0.14858830091436415,0.007553167819197129,False,True,0.1758282350305192,0.14968613347094276,0.007608973784311405,False,True
50,emotion,ridge,387,2.7796689832254167,0.4038159675396949,0.1814384259847319,0.009223033522023241,False,True,0.41232044485790204,0.17908540486582886,0.009103422736491529,False,True
50,identity,ridge,387,7.295027151339031,0.3473327440601711,0.20120791885489472,0.010227973321656725,False,True,0.35565018399164566,0.19788307572849223,0.010058962047204537,False,True
50,pca,ridge,387,4.1500956032861716,0.3351051084401521,0.1942226831300734,0.009872893834499564,False,True,0.34612714923232185,0.19269571633905572,0.009795273750307708,False,True
50,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.4265928502826286,0.17378927344550174,0.008834205246527038,False,False
50,random,ridge,387,2.4968134731834497,0.16771306997892454,0.13316795267181203,0.006769307465523766,False,True,0.17125192603368397,0.1332294263208288,0.006772432346719827,False,True
50,shuffled,ridge,387,4.854563029139607,0.21092655088874332,0.14907741640706326,0.007578030956985177,False,True,0.21703426286650873,0.1503613635401869,0.007643297657713177,False,True
100,emotion,ridge,387,4.1791727341839975,0.4186956967959572,0.18306437583170204,0.009305685197721729,True,False,0.42859255834017246,0.17797489105918163,0.009046972147208754,True,False
100,identity,ridge,387,15.884121507506462,0.3998041508401024,0.19458652157189651,0.009891388781902918,False,True,0.4097599397034672,0.18979826179948542,0.009647987858678314,False,True
100,pca,ridge,387,5.630283440201469,0.37736814991199885,0.18930689379253884,0.009623010219156135,False,True,0.3900883531109811,0.18715043149233004,0.009513391079903469,False,True
100,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.4265928502826286,0.17378927344550174,0.008834205246527038,False,False
100,random,ridge,387,2.982405366373507,0.19659489750133238,0.13173924400721101,0.0066966821225992795,False,True,0.20011506978765836,0.13071599243408566,0.006644667321935211,False,True
100,shuffled,ridge,387,5.336291070602358,0.2446111761366975,0.14488763671646246,0.007365052486043442,False,True,0.2518083197540816,0.14512092408916222,0.007376911149647896,False,True
