fold,domain,user_id,mediator,head,eff_dof,ccc,srocc,plcc,n_train,seed,stage2_variant
0,art,3,population,ridge,,0.07887822121449928,0.1421683960446078,0.11043364937666976,10,0,plain
0,art,3,identity,ridge,5.436504501340659,-0.030638703571863594,-0.007642408608876228,-0.05376499463484513,10,0,plain
0,art,3,pca,ridge,4.3447992641718125,-0.011322842474284514,-0.014500980437354895,-0.01620481040322088,10,0,plain
0,art,3,emotion,ridge,6.999810841415224e-05,2.423186810332816e-06,0.05531346712359878,0.07128854023171788,10,0,plain
0,art,3,random,ridge,0.5612732250853367,-0.01474116309151476,-0.1258547930525835,-0.1762729864510674,10,0,plain
0,art,3,shuffled,ridge,0.5542200811398752,0.01058801896771712,0.08690790302657968,0.06104842538769259,10,0,plain
0,art,14,population,ridge,,0.34292974346929844,0.7028938356740481,0.7053333253505175,10,0,plain
0,art,14,identity,ridge,5.425202560972417,-0.18802035529390804,-0.3669690946194521,-0.35034187037886616,10,0,plain
0,art,14,pca,ridge,4.349460299585364,-0.3217791315115973,-0.46357912291328457,-0.41686187499815625,10,0,plain
0,art,14,emotion,ridge,6.999788567020994e-05,1.5243901508020998e-05,0.5194839051345077,0.499792418012487,10,0,plain
0,art,14,random,ridge,0.6000102667082774,-0.09405646026342054,-0.49670965703769915,-0.4989560752380301,10,0,plain
0,art,14,shuffled,ridge,0.5594560751295273,-0.04325758916679029,-0.2418479320116557,-0.2244792447824754,10,0,plain
0,art,15,population,ridge,,0.18165308193140142,0.24672029728445222,0.24196366599373387,10,0,plain
0,art,15,identity,ridge,5.394621793619781,-0.025357844218235632,-0.11465112394255968,-0.13046304485156268,10,0,plain
0,art,15,pca,ridge,4.470291259245011,-0.09686985898872572,-0.04179269779656993,-0.1402078780068885,10,0,plain
0,art,15,emotion,ridge,6.999745008313342e-05,-2.9919195797491457e-06,-0.26895572055920297,-0.24433635363375872,10,0,plain
0,art,15,random,ridge,0.5817575696985299,0.00018861311188763118,0.07200876519968083,0.0020818455338660682,10,0,plain
0,art,15,shuffled,ridge,0.5622290862818273,-0.018545357234537502,-0.36084038313556877,-0.30866388234311165,10,0,plain
0,art,19,population,ridge,,0.5067450326895949,0.5473504394484945,0.5885318030195487,10,0,plain
0,art,19,identity,ridge,5.291628380722388,0.461243639629011,0.5706451314399688,0.5974236206252433,10,0,plain
0,art,19,pca,ridge,4.176959623674909,0.35794619068087535,0.3534607868342324,0.38814218390922867,10,0,plain
0,art,19,emotion,ridge,6.999791397084542e-05,3.966555626927549e-05,0.6292566963780485,0.6263040093317908,10,0,plain
0,art,19,random,ridge,0.582431544618019,0.113265747385987,0.5256519576148944,0.532757213636238,10,0,plain
0,art,19,shuffled,ridge,0.5564509721212781,0.12081790391900822,0.5722912231652765,0.5255791970355537,10,0,plain
0,art,21,population,ridge,,0.31530081539319743,0.5433372085382923,0.5502748389292507,10,0,plain
0,art,21,identity,ridge,5.52225669905515,0.3278513443683881,0.4276083446258041,0.437888737106279,10,0,plain
0,art,21,pca,ridge,4.3446206222333785,0.2608196343029525,0.300915164184449,0.35241006977200134,10,0,plain
0,art,21,emotion,ridge,6.999733964166913e-05,3.052309932100671e-05,0.4977051717478519,0.48411418549021623,10,0,plain
0,art,21,random,ridge,0.5820403515827165,0.019847256635093964,0.10888873983943374,0.07135869635967537,10,0,plain
0,art,21,shuffled,ridge,0.5483500364235074,0.028763949229608274,0.11321411241504176,0.11625428418181932,10,0,plain
0,art,22,population,ridge,,0.266498793174864,0.3600947862974479,0.40302874987312054,10,0,plain
0,art,22,identity,ridge,5.205021430862243,0.18778157896565828,0.19178114700184523,0.26795440965890127,10,0,plain
0,art,22,pca,ridge,4.044741492935409,0.2402780667359379,0.22664159413393994,0.27438094285062203,10,0,plain
0,art,22,emotion,ridge,6.99978248922176e-05,9.506212092948822e-06,0.32076276531490905,0.29383742097659804,10,0,plain
0,art,22,random,ridge,0.5800955621466538,0.07633407535196601,0.3482636568936783,0.3104885002430329,10,0,plain
0,art,22,shuffled,ridge,0.5661792704227455,0.06433483317281678,0.18238440636428338,0.1972066926597145,10,0,plain
0,art,30,population,ridge,,-0.186412961177479,-0.21892812830350286,-0.21355056546935208,10,0,plain
0,art,30,identity,ridge,5.5914540453678985,0.17745253890108012,0.4291030877093956,0.36788196815182783,10,0,plain
0,art,30,pca,ridge,4.4685798243306865,0.2625105163083286,0.3194659382969569,0.31690790051792783,10,0,plain
0,art,30,emotion,ridge,6.999819505916477e-05,1.4048525995811893e-06,0.1469952627736932,0.13171562843003143,10,0,plain
0,art,30,random,ridge,0.5673086887921756,0.017217743487078354,0.2292143380814854,0.2040863953472471,10,0,plain
0,art,30,shuffled,ridge,0.5666222710847857,0.052365872163254355,0.27782656986877774,0.2658521120082691,10,0,plain
0,art,50,population,ridge,,0.4090048917574135,0.4578797633482212,0.430681750674899,10,0,plain
0,art,50,identity,ridge,5.513221674376919,0.20979739779953996,0.4811287990058793,0.44896199311825913,10,0,plain
0,art,50,pca,ridge,4.494141971449239,0.1305534191725247,0.23122796550014707,0.16517714169385206,10,0,plain
0,art,50,emotion,ridge,6.999819715304376e-05,6.289833058293531e-06,0.4209830936000185,0.40153428829283677,10,0,plain
0,art,50,random,ridge,0.595769958995735,0.07853153388372178,0.29445271857821276,0.30899169601339804,10,0,plain
0,art,50,shuffled,ridge,0.5394618305190528,0.07074021214860926,0.40007277197318436,0.3838063586447394,10,0,plain
0,art,57,population,ridge,,0.4265419843829247,0.5096199021276007,0.4969642321577971,10,0,plain
0,art,57,identity,ridge,5.308755577554101,0.1511014043586102,0.34147702856480555,0.3515013385810472,10,0,plain
0,art,57,pca,ridge,4.298574084315465,0.22792758985205874,0.25612143269054943,0.252954140826642,10,0,plain
0,art,57,emotion,ridge,6.999793464630519e-05,1.9839844036754992e-05,0.409564783020198,0.4058111494808373,10,0,plain
0,art,57,random,ridge,0.5896661655791943,0.05827733756653304,0.23989184755952891,0.2591415140699296,10,0,plain
0,art,57,shuffled,ridge,0.583141093162042,-0.005883262417454924,-0.053934681900058096,-0.03883537489501603,10,0,plain
0,art,62,population,ridge,,0.2165884639297703,0.44952199996801456,0.427244179732596,10,0,plain
0,art,62,identity,ridge,5.304591730997597,0.2094450730299121,0.4086250455150454,0.37469330291968356,10,0,plain
0,art,62,pca,ridge,4.186297591202122,0.2976750647818803,0.44898064437357094,0.3806048633944711,10,0,plain
0,art,62,emotion,ridge,6.999759988869093e-05,9.668207406807306e-06,0.42381353004382755,0.3968513174078947,10,0,plain
0,art,62,random,ridge,0.5731906676836726,0.06613103763715228,0.363249603871679,0.37844242359590674,10,0,plain
0,art,62,shuffled,ridge,0.5351785721336652,0.13658532917018576,0.4449450844877184,0.43385900198833216,10,0,plain
0,art,63,population,ridge,,0.14905109928612978,0.18109188362311357,0.20794961610121254,10,0,plain
0,art,63,identity,ridge,5.222617641711911,0.12061013396569306,0.200912885810718,0.2207405934566091,10,0,plain
0,art,63,pca,ridge,4.412466312604417,0.1833042668230828,0.17233260235333886,0.20508212129422507,10,0,plain
0,art,63,emotion,ridge,6.999742840309939e-05,7.504679260426188e-07,0.07061337152983266,0.04373486090781654,10,0,plain
0,art,63,random,ridge,0.5461861860325423,0.007973847400979932,0.056509877449003654,0.08029608058946243,10,0,plain
0,art,63,shuffled,ridge,0.5428784209692816,-0.008428156779434046,-0.11757458115829016,-0.07181580305393473,10,0,plain
0,art,79,population,ridge,,0.44096327351355363,0.46291531466544167,0.49192131827447017,10,0,plain
0,art,79,identity,ridge,5.453029326614772,0.31662780940266066,0.4649485432354008,0.4789350164907811,10,0,plain
0,art,79,pca,ridge,4.273978116163792,0.458923097329224,0.4726239810869965,0.4959082452722161,10,0,plain
0,art,79,emotion,ridge,6.999772478611975e-05,1.5086628928879676e-05,0.34174309711075873,0.34759805368028,10,0,plain
0,art,79,random,ridge,0.5648172728691236,0.042520175540095205,0.1611841948835089,0.1749359191931643,10,0,plain
0,art,79,shuffled,ridge,0.5627528290644637,0.12675718642711703,0.4108646632744883,0.40039928187436946,10,0,plain
0,art,80,population,ridge,,0.31684259648513935,0.6816931028968947,0.6417745806531245,10,0,plain
0,art,80,identity,ridge,5.377583704390266,0.36777482027767805,0.45030260746273687,0.4659667756267464,10,0,plain
0,art,80,pca,ridge,4.425860366652596,0.3897721435223219,0.4276057053628259,0.46829469551750574,10,0,plain
0,art,80,emotion,ridge,6.99979228397613e-05,2.513870703858348e-05,0.39918964068834706,0.4220926074115523,10,0,plain
0,art,80,random,ridge,0.5617252433762093,0.22687739502732368,0.6230348753919299,0.6204365744828925,10,0,plain
0,art,80,shuffled,ridge,0.5578569435341375,0.27604805403893545,0.6629264002948038,0.6702225880440716,10,0,plain
