fold,domain,user_id,mediator,head,eff_dof,ccc,srocc,plcc,n_train,seed,stage2_variant
0,art,3,population,lasso,,0.06244597436658254,0.09650990358644981,0.08555433108989885,10,0,plain
0,art,3,identity,lasso,24.0,0.04114040563852759,0.07270086138187386,0.06130642126392549,10,0,plain
0,art,3,pca,lasso,3.0,-0.13439212195842556,-0.19992736880015313,-0.18441688560615374,10,0,plain
0,art,3,emotion,lasso,2.0,-0.023626655342165293,-0.09660788318399949,-0.07814052232377325,10,0,plain
0,art,14,population,lasso,,0.31370112526113064,0.6348446126598832,0.6277535882340936,10,0,plain
0,art,14,identity,lasso,24.0,-0.21347377225596895,-0.20062103047752666,-0.23652583993083023,10,0,plain
0,art,14,pca,lasso,5.0,-0.1643944134969197,-0.2368808354412787,-0.18200972433967147,10,0,plain
0,art,14,emotion,lasso,3.0,0.3517576949463387,0.4187262408827804,0.42586746607780207,10,0,plain
0,art,15,population,lasso,,0.170330874319862,0.24841961917707003,0.23491191478839452,10,0,plain
0,art,15,identity,lasso,14.0,-0.09388315976317169,-0.13429953332595343,-0.10350741989834424,10,0,plain
0,art,15,pca,lasso,2.0,0.028457154242150555,0.127661557182915,0.18955497476032312,10,0,plain
0,art,15,emotion,lasso,2.0,0.0033462156754362087,0.01752425701762144,0.04587561502064513,10,0,plain
0,art,19,population,lasso,,0.5100816440178864,0.5784765375270383,0.5871520125362644,10,0,plain
0,art,19,identity,lasso,30.0,0.26797180522339276,0.2777405674700827,0.3304246863998917,10,0,plain
0,art,19,pca,lasso,5.0,0.3259785818188608,0.3084177314417244,0.3612436944382589,10,0,plain
0,art,19,emotion,lasso,4.0,0.48699552968428444,0.5912462187900306,0.5932175347692338,10,0,plain
0,art,21,population,lasso,,0.2594251237736896,0.4606521793022512,0.4698586977453104,10,0,plain
0,art,21,identity,lasso,24.0,-0.031101958846781647,-0.08429447019440692,-0.03964196005406853,10,0,plain
0,art,21,pca,lasso,4.0,0.2868736099162686,0.27793033549778795,0.29972941024408306,10,0,plain
0,art,21,emotion,lasso,5.0,0.4060389906213749,0.4566285769063368,0.4717871347140474,10,0,plain
0,art,22,population,lasso,,0.29209273306723527,0.40605604620344987,0.4261343742780548,10,0,plain
0,art,22,identity,lasso,26.0,0.2795597215651529,0.2947071040371082,0.30846015730160065,10,0,plain
0,art,22,pca,lasso,5.0,-0.01053898341846609,0.025415018719208735,-0.012723642616988615,10,0,plain
0,art,22,emotion,lasso,4.0,0.09522917165513646,0.1283409757544717,0.10043462683399759,10,0,plain
0,art,30,population,lasso,,-0.2006022222447219,-0.24192374150908877,-0.2277854896623564,10,0,plain
0,art,30,identity,lasso,26.0,0.2186819985994614,0.3333127591519334,0.24695086589128792,10,0,plain
0,art,30,pca,lasso,5.0,0.2613025339314642,0.3615503831097604,0.3162656739802888,10,0,plain
0,art,30,emotion,lasso,4.0,0.03908683758137692,0.06255795850551867,0.06939300472736575,10,0,plain
0,art,50,population,lasso,,0.49205459199587953,0.48744075438804885,0.5156871375572091,10,0,plain
0,art,50,identity,lasso,20.0,0.2866663570460369,0.34079299100897464,0.3431010135534533,10,0,plain
0,art,50,pca,lasso,2.0,0.1092569846555223,0.18714947708132923,0.24741645096280904,10,0,plain
0,art,50,emotion,lasso,3.0,-0.050248050370002385,-0.10067568834560545,-0.08890090846183094,10,0,plain
0,art,57,population,lasso,,0.45601703052739867,0.5326254756634917,0.5293606739522505,10,0,plain
0,art,57,identity,lasso,17.0,-0.024799218386932647,-0.06726807843867427,-0.03177443277435579,10,0,plain
0,art,57,pca,lasso,2.0,0.11639505520646569,0.26158593946867087,0.2569344505060547,10,0,plain
0,art,57,emotion,lasso,3.0,-0.06215203764298488,-0.05557403393349451,-0.07822898635685314,10,0,plain
0,art,62,population,lasso,,0.263475203195587,0.49430687187198796,0.5093199706610158,10,0,plain
0,art,62,identity,lasso,26.0,0.011487864148456378,0.05817111933021603,0.013702457139074392,10,0,plain
0,art,62,pca,lasso,4.0,0.13600488722459686,0.17731856425276513,0.1533003022726107,10,0,plain
0,art,62,emotion,lasso,4.0,0.14147141422251336,0.18233840703760607,0.1653729355896025,10,0,plain
0,art,63,population,lasso,,0.12804777934943723,0.16262231340284578,0.17901892288946367,10,0,plain
0,art,63,identity,lasso,27.0,0.03425147797763291,0.12483227135324632,0.04593321941018919,10,0,plain
0,art,63,pca,lasso,3.0,-0.07688076402790223,-0.06151518103173205,-0.08629001924260307,10,0,plain
0,art,63,emotion,lasso,4.0,0.13293496659684986,0.1847958082743326,0.1845065638343719,10,0,plain
0,art,79,population,lasso,,0.4557779033208845,0.46484688180690287,0.5088420310205154,10,0,plain
0,art,79,identity,lasso,19.0,0.4407078358687976,0.44741194681950347,0.45308687965986766,10,0,plain
0,art,79,pca,lasso,3.0,0.4826091679797167,0.5616285617369567,0.5639817411434799,10,0,plain
0,art,79,emotion,lasso,3.0,0.13389886281647687,0.19031019414817324,0.17782366494268687,10,0,plain
0,art,80,population,lasso,,0.3463860690637057,0.6837564576332503,0.6692933798909327,10,0,plain
0,art,80,identity,lasso,39.0,0.17128687289384004,0.21134647799527534,0.20292796073039293,10,0,plain
0,art,80,pca,lasso,4.0,0.6325271622306272,0.6696077394410979,0.637982322605438,10,0,plain
0,art,80,emotion,lasso,3.0,0.3896720968355265,0.48311977326953465,0.4973787476997659,10,0,plain
0,art,85,population,lasso,,0.047278400055445535,0.01661762040951794,0.08824923961932185,10,0,plain
0,art,85,identity,lasso,21.0,-0.0731217832884702,-0.10798912345634747,-0.10249646096079766,10,0,plain
0,art,85,pca,lasso,4.0,0.264440996531669,0.22222891147040352,0.29773280717007844,10,0,plain
0,art,85,emotion,lasso,4.0,0.14246337370061846,0.1802529039527833,0.19873256094228411,10,0,plain
0,art,86,population,lasso,,0.398131696921942,0.6351343826170743,0.643665389278786,10,0,plain
0,art,86,identity,lasso,21.0,0.034676941419624026,0.014953047236439278,0.04555206799973918,10,0,plain
0,art,86,pca,lasso,6.0,0.2664133196828245,0.24536815465206632,0.30580144920462204,10,0,plain
0,art,86,emotion,lasso,2.0,0.3679364049315587,0.43225657011211766,0.5212503518020448,10,0,plain
0,art,98,population,lasso,,0.202111263935649,0.3866802881424239,0.3879868321891357,10,0,plain
0,art,98,identity,lasso,29.0,0.10152727564501281,0.17946500052601214,0.1289799056673724,10,0,plain
0,art,98,pca,lasso,6.0,0.1764339530646913,0.2107641698020401,0.2266496251647225,10,0,plain
0,art,98,emotion,lasso,3.0,0.1343040306997574,0.15615081616764806,0.1885804421768025,10,0,plain
0,art,99,population,lasso,,0.4712366498744009,0.7175395719798754,0.731849245974576,10,0,plain
0,art,99,identity,lasso,28.0,0.47547685151564856,0.6265537471665042,0.6046890422998003,10,0,plain
0,art,99,pca,lasso,5.0,0.5299770344344544,0.5442147332537095,0.5405427066240448,10,0,plain
0,art,99,emotion,lasso,4.0,0.5758369441879192,0.7181225030518243,0.7152306788902748,10,0,plain
0,art,105,population,lasso,,0.19539536554335737,0.2579347676457762,0.25176478727640533,10,0,plain
0,art,105,identity,lasso,16.0,0.17875815413904825,0.2563447247706722,0.2259889481235526,10,0,plain
0,art,105,pca,lasso,5.0,0.017039013209190768,0.08382507282188874,0.04152492430825629,10,0,plain
0,art,105,emotion,lasso,2.0,-0.07145365973909326,-0.1761469372576145,-0.18063358151884337,10,0,plain
0,art,109,population,lasso,,0.36351336096781284,0.4497326599499079,0.47881967156644123,10,0,plain
0,art,109,identity,lasso,17.0,0.14152005048943453,0.12200086790626721,0.14868820498665375,10,0,plain
0,art,109,pca,lasso,3.0,0.00951853947349495,0.10777587044499706,0.08293419166589851,10,0,plain
0,art,109,emotion,lasso,1.0,0.07349396823728278,0.5113911898710006,0.5011088365324997,10,0,plain
0,art,110,population,lasso,,0.3220496067491026,0.4865427806559464,0.5087595812214964,10,0,plain
0,art,110,identity,lasso,18.0,0.1782415694228708,0.24717688793357653,0.2617045260498787,10,0,plain
0,art,110,pca,lasso,3.0,0.3554471390655464,0.3967163357270708,0.4095704811280344,10,0,plain
0,art,110,emotion,lasso,2.0,0.19913330401422308,0.24810187420858784,0.26411221387614153,10,0,plain
0,art,116,population,lasso,,0.36766002758745114,0.5825308081123058,0.5988767191502403,10,0,plain
0,art,116,identity,lasso,26.0,0.45794047026950585,0.49959183586361766,0.5413244390282415,10,0,plain
0,art,116,pca,lasso,4.0,0.2282000780441879,0.20197547539738053,0.2906027049624629,10,0,plain
0,art,116,emotion,lasso,2.0,0.5199333470177454,0.5627499636413716,0.5436992410835114,10,0,plain
0,art,117,population,lasso,,0.4300957843084696,0.7340510690551971,0.7427844449451173,10,0,plain
0,art,117,identity,lasso,22.0,0.039929346939650855,0.09061754155559287,0.06599446068716557,10,0,plain
0,art,117,pca,lasso,3.0,0.24907020468081048,0.2676891160007108,0.31609767122141164,10,0,plain
0,art,117,emotion,lasso,3.0,0.5543981922779535,0.6964325436959025,0.7040761362826807,10,0,plain
0,art,126,population,lasso,,0.38637649658734474,0.47267040866740073,0.4782998609015313,10,0,plain
0,art,126,identity,lasso,21.0,0.21117102788347394,0.25519278417949354,0.22850056623550039,10,0,plain
0,art,126,pca,lasso,3.0,0.316392022780751,0.3547982255059677,0.3900377733471096,10,0,plain
0,art,126,emotion,lasso,4.0,0.32335299378941007,0.2826175151823833,0.32707578258571,10,0,plain
0,art,127,population,lasso,,0.252174374800148,0.45159857309690626,0.4895661146221735,10,0,plain
0,art,127,identity,lasso,24.0,0.2015216030395242,0.26576745321013195,0.21848095415681607,10,0,plain
0,art,127,pca,lasso,6.0,0.28840817574711414,0.30674157127336316,0.30353481810355426,10,0,plain
