n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,lasso,387,3.305700721774176,0.39764698753096733,0.1758833346686508,0.008940652360766764,False,True,0.40671269175418395,0.17329236097408465,0.008808945766036523,False,True
10,identity,lasso,387,8.874612480707487,0.4114401099998163,0.1796511860437478,0.009132183010076107,False,False,0.42157345281467423,0.17487634929226872,0.00888946441735206,False,False
10,pca,lasso,387,3.9635312429690384,0.34871639263836907,0.1985763343348738,0.010094202362652524,False,True,0.36106009272978196,0.19463772525143364,0.009893991611211312,False,True
10,population,lasso,387,,0.4117402268460719,0.17784669310945328,0.00904045547919104,False,False,0.4220288214684999,0.17260170482439535,0.008773837740896842,False,False
25,emotion,lasso,387,5.667172603839935,0.39947609465338196,0.1755326746482988,0.008922827310174603,False,True,0.4097017818748305,0.17255740903158584,0.00877158605920511,False,True
25,identity,lasso,387,23.749393607152268,0.4143434073743299,0.17849741561135074,0.009073533562931913,True,False,0.4259451384425559,0.17254501178037307,0.008770955871509774,True,True
25,pca,lasso,387,6.041471366119527,0.34401604897332455,0.1941459828304244,0.009868994939152711,False,True,0.3578034557037454,0.18883360601358015,0.009598951649273772,False,True
25,population,lasso,387,,0.4117402268460719,0.17784669310945328,0.00904045547919104,False,False,0.4220288214684999,0.17260170482439535,0.008773837740896842,False,False
50,emotion,lasso,387,6.604733231374839,0.4074009509029115,0.17462486758271487,0.00887668088362814,False,False,0.41863429193802815,0.17023233318869288,0.008653395811886424,False,False
50,identity,lasso,387,48.82998531589876,0.41584806769415067,0.1758381529893444,0.008938355646933613,True,False,0.4272404221488916,0.17141009880348484,0.00871326500270065,True,False
50,pca,lasso,387,6.806344983100761,0.36044579716536446,0.19083395223061506,0.00970063496202979,False,True,0.37509093592201503,0.18587760046865734,0.009448689442775111,False,True
50,population,lasso,387,,0.4117402268460719,0.17784669310945328,0.00904045547919104,False,False,0.4220288214684999,0.17260170482439535,0.008773837740896842,False,False
