n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.7262608774595648,0.4137763841554522,0.18247628579184638,0.009275790900953452,False,False,0.42386950637704235,0.17803485019288162,0.009050020041264631,False,False
10,emotion_hist,ridge,387,1.128981991496608,0.41284524831066305,0.18961760425628998,0.00963880451965928,False,False,0.4232525894784235,0.18284617382842205,0.009294593366540427,False,False
10,emotion_sd,ridge,387,0.7943816463275658,0.41851343718352724,0.18059551656608963,0.009180186028268963,True,False,0.42854210560876793,0.17438314339424274,0.008864393352575871,True,False
10,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.4265928541229525,0.17378926660313393,0.008834204898709935,False,False
25,emotion,ridge,387,1.534700711852357,0.4151640090786134,0.18407769225952722,0.00935719496656769,False,False,0.4259143606298626,0.17883954831827678,0.009090925145821995,False,False
25,emotion_hist,ridge,387,1.8008613376621234,0.42472680712106875,0.18199985883303524,0.009251572757591248,True,True,0.4346732178800813,0.17608177476178677,0.008950739637600064,True,True
25,emotion_sd,ridge,387,1.7290083628943402,0.41919067542792476,0.18309075950968054,0.009307026355445676,True,False,0.430399473532935,0.17729264569764216,0.00901229166645848,True,True
25,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.4265928541229525,0.17378926660313393,0.008834204898709935,False,False
50,emotion,ridge,387,2.397607095907229,0.42322237666747403,0.1753557168904264,0.008913832041813001,True,False,0.4334858121184027,0.17086580591073305,0.008685597040038368,True,True
50,emotion_hist,ridge,387,4.25828172573123,0.43467519658282455,0.17593602008591774,0.008943330511036959,True,True,0.4427483496809013,0.17264680614950048,0.008776130370096388,True,True
50,emotion_sd,ridge,387,2.8508752356949403,0.428453561534601,0.17484498079397814,0.00888786986697113,True,True,0.4377481948031789,0.1712259247758656,0.00870390291073254,True,True
50,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.4265928541229525,0.17378926660313393,0.008834204898709935,False,False
100,emotion,ridge,387,3.388918320054992,0.4351770497756656,0.18199144349264498,0.009251144981798456,True,True,0.44484746309307066,0.17701347018307675,0.008998100377510783,True,True
100,emotion_hist,ridge,387,6.314537338818888,0.44204087486718685,0.18204622947674784,0.009253929909881773,True,True,0.4530293170170125,0.17773646231542053,0.0090348521330255,True,True
100,emotion_sd,ridge,387,4.770918418483907,0.43430408094691847,0.18029427366454506,0.0091648729909995,True,True,0.4442245826071364,0.1756475775195548,0.008928668151372486,True,True
100,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.4265928541229525,0.17378926660313393,0.008834204898709935,False,False
