n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.5334851616811411,0.3354187202662106,0.2678175055221937,0.013613928900726331,False,True,0.3369863249037855,0.2724824173941475,0.013851059697793183,False,True
10,identity,ridge,387,0.3611477792010917,0.31003267991587785,0.23923685324718705,0.012161092697022393,False,True,0.3161557522358571,0.23841665633758366,0.012119399744987146,False,True
10,pca,ridge,387,0.2803307177350087,0.28874495542266737,0.2408276083250585,0.012241955322063968,False,True,0.2928825985239561,0.239716813168799,0.01218549043097665,False,True
10,population,ridge,387,,0.41381535685647897,0.17886492519419464,0.009092215124920987,False,False,0.41956096713646046,0.17614604182422253,0.008954006515980375,False,False
25,emotion,ridge,387,0.9677408344057791,0.3968624568392716,0.2053764304184154,0.01043987067294067,False,True,0.39989888176173766,0.20593808369478442,0.010468421113496969,False,True
25,identity,ridge,387,0.7365043102515697,0.38865907333486915,0.20492512700382606,0.010416929631103638,False,True,0.39521376046193396,0.20356906424634547,0.010347997087171278,False,True
25,pca,ridge,387,0.6301494069060769,0.37368597526990804,0.20494707225837777,0.010418045171085211,False,True,0.378883458025779,0.20441666574791822,0.01039108309290515,False,True
25,population,ridge,387,,0.41381535685647897,0.17886492519419464,0.009092215124920987,False,False,0.41956096713646046,0.17614604182422253,0.008954006515980375,False,False
50,emotion,ridge,387,2.7699268381665676,0.4151400785525129,0.18183304070817524,0.009243092915742344,True,False,0.4208547429649978,0.17929508509921446,0.009114081381764299,True,False
50,identity,ridge,387,3.100250954583358,0.426014145552336,0.18565695825846895,0.009437473568905525,True,True,0.43106011474719913,0.18567506309753137,0.009438393889596566,True,True
50,pca,ridge,387,1.0054931011404513,0.4119297713404071,0.18992852453724413,0.009654609485770252,False,False,0.4195337154888331,0.18824212083407776,0.009568884767858091,False,False
50,population,ridge,387,,0.41381535685647897,0.17886492519419464,0.009092215124920987,False,False,0.41956096713646046,0.17614604182422253,0.008954006515980375,False,False
100,emotion,ridge,386,3.6648203519244595,0.42955270633896836,0.17819102177786625,0.00906968420685201,True,True,0.43619878627968645,0.17538185269214837,0.008926701265080264,True,True
100,identity,ridge,386,7.339907509665322,0.4475036726175046,0.18009797560960977,0.009166745601294882,True,True,0.45379723692313373,0.17782169484572993,0.009050885960957569,True,True
100,pca,ridge,386,2.243421219028956,0.4358716381355519,0.17886843059431717,0.009104163407783951,True,True,0.44362861702805256,0.17705103268891598,0.009011660289974058,True,True
100,population,ridge,386,,0.4139736520218813,0.17906992182133716,0.009114419041211996,False,False,0.4197162582981159,0.17634812699163624,0.008975883331977423,False,False
