n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.8396612297498267,0.33060518793484894,0.24788702866830545,0.012600805825304656,False,True,0.33389298768224307,0.24803136956211683,0.012608143085286912,False,True
10,identity,ridge,387,0.8442772277632774,0.3120615703350034,0.23587960564820395,0.011990434210656561,False,True,0.3195672961927944,0.2347253468873678,0.011931759940382761,False,True
10,pca,ridge,387,0.8257868150232702,0.28057195309741617,0.228583681369511,0.011619561536738023,False,True,0.2878230837801379,0.22679610241419632,0.011528693791723976,False,True
10,population,ridge,387,,0.40743220561462196,0.18023848348033567,0.00916203701655599,False,False,0.41501208482404517,0.174524054686778,0.008871556276127653,False,False
25,emotion,ridge,387,1.234816911418597,0.3771574724879186,0.21247060947621044,0.010800488060939752,False,True,0.3842648189849924,0.20702799184836906,0.010523824258568806,False,True
25,identity,ridge,387,2.824342899701539,0.3817072178608048,0.20493003698003814,0.010417179219221208,False,True,0.38669393626104215,0.2026709729189737,0.010302344539353843,False,True
25,pca,ridge,387,0.7981196789212684,0.3652570004461213,0.2081758458882504,0.010582172958579607,False,True,0.3694203123946855,0.20774192243496825,0.010560115389826503,False,True
25,population,ridge,387,,0.40743220561462196,0.18023848348033567,0.00916203701655599,False,False,0.41501208482404517,0.174524054686778,0.008871556276127653,False,False
50,emotion,ridge,387,2.0668229027211376,0.4025573932908869,0.19075732675148832,0.00969673987002383,False,False,0.4087217112229503,0.1850612728432742,0.009407193177510464,False,False
50,identity,ridge,387,6.746897844347271,0.4157478283613394,0.1896874590146996,0.009642355436588744,True,True,0.41927427204178935,0.188823868398896,0.009598456658501177,True,True
50,pca,ridge,387,1.0981927138006133,0.4130728859337734,0.18705862056240433,0.009508724068051942,True,False,0.41753946121324087,0.18545527443166,0.009427221403823,True,False
50,population,ridge,387,,0.40743220561462196,0.18023848348033567,0.00916203701655599,False,False,0.41501208482404517,0.174524054686778,0.008871556276127653,False,False
100,emotion,ridge,387,4.8174193044848375,0.42518890115618846,0.18170246186521663,0.009236455220120052,True,True,0.43150414775539214,0.17924757450512532,0.00911166628253955,True,True
100,identity,ridge,387,9.035666702480716,0.44013843820835225,0.1782328135083029,0.009060083082124647,True,True,0.44679280309513403,0.17600268121213974,0.00894671908651883,True,True
100,pca,ridge,387,3.08892052066892,0.4322402530441538,0.1822359029180539,0.009263571552758186,True,True,0.43908305877618004,0.177963233406581,0.009046379555423744,True,True
100,population,ridge,387,,0.40743220561462196,0.18023848348033567,0.00916203701655599,False,False,0.41501208482404517,0.174524054686778,0.008871556276127653,False,False
