n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.6777966858592958,0.39351040601532866,0.18550569267216216,0.009429784307021422,False,True,0.40118272999654464,0.1793915396484126,0.009118984442049229,False,True
10,identity,ridge,387,2.320071257797723,0.41100709336338576,0.17764304471023792,0.009030103449280751,True,True,0.4191149841890685,0.17189270814998145,0.008737797414490612,True,True
10,pca,ridge,387,0.34543461098629064,0.4033428836135624,0.18009580480980997,0.00915478425213195,False,False,0.41085112216214514,0.17353896585122408,0.008821481396436792,False,False
10,population,ridge,387,,0.40743220561462196,0.18023848348033567,0.00916203701655599,False,False,0.41501208482404517,0.174524054686778,0.008871556276127653,False,False
25,emotion,ridge,387,1.3122768297473426,0.3964127290939439,0.18497209185188263,0.009402659852947777,False,True,0.40327947575851814,0.17882945267529843,0.009090411955448399,False,True
25,identity,ridge,387,5.7183215604283735,0.42256948815057077,0.17859242473017595,0.009078363147861715,True,True,0.4293026457309097,0.17346425991932796,0.008817683880500284,True,True
25,pca,ridge,387,1.5609265860002168,0.41108814243261094,0.1798050522020575,0.009140004466464374,True,False,0.41758050055225593,0.17425824271477872,0.00885804429422526,True,False
25,population,ridge,387,,0.40743220561462196,0.18023848348033567,0.00916203701655599,False,False,0.41501208482404517,0.174524054686778,0.008871556276127653,False,False
50,emotion,ridge,387,2.3536068958164367,0.39927778638921296,0.19140076308181794,0.009729447576848939,False,False,0.4070920981597182,0.1837408392438266,0.009340071765465498,False,False
50,identity,ridge,387,12.201051310230694,0.4328328132532254,0.18192369078017598,0.00924770091786923,True,True,0.4405940271297023,0.1770556651159337,0.009000245266489439,True,True
50,pca,ridge,387,3.432682626690734,0.4227356165565932,0.1763443392800116,0.00896408654214985,True,True,0.42807651348592773,0.17070760541497212,0.008677555256895217,True,True
50,population,ridge,387,,0.40743220561462196,0.18023848348033567,0.00916203701655599,False,False,0.41501208482404517,0.174524054686778,0.008871556276127653,False,False
100,emotion,ridge,387,4.021302714377037,0.4160451657945498,0.18405764392681745,0.009356175852542427,True,False,0.42241352922458825,0.1811552149200569,0.009208637094534804,True,False
100,identity,ridge,387,18.19175376260727,0.4489355336353087,0.1773131155726068,0.009013332208680813,True,True,0.456212811719043,0.17579326936883202,0.00893607408428045,True,True
100,pca,ridge,387,4.345994073653198,0.4319620726016539,0.17642707361716423,0.008968292164860914,True,True,0.4392332345832486,0.17136506050672512,0.00871097557741196,True,True
100,population,ridge,387,,0.40743220561462196,0.18023848348033567,0.00916203701655599,False,False,0.41501208482404517,0.174524054686778,0.008871556276127653,False,False
