n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.6867941506068137,0.4063230778449619,0.18138023465696154,0.009220075490592996,False,False,0.4139112801290991,0.17639080948141472,0.008966448755242199,False,False
10,identity,ridge,387,2.320071257797723,0.41100709336338576,0.17764304471023792,0.009030103449280751,True,True,0.419114983353994,0.17189269722943593,0.008737796859368084,True,True
10,pca,ridge,387,0.45885884409729366,0.4080642232553618,0.1800954757798803,0.00915476752660066,True,False,0.4162304920878278,0.17508483770454705,0.008900062478953181,True,True
10,population,ridge,387,,0.40743220561462196,0.18023848348033567,0.00916203701655599,False,False,0.41501208482404517,0.174524054686778,0.008871556276127653,False,False
25,emotion,ridge,387,1.1831655060848854,0.4077907182964895,0.18471769225940157,0.009389727994898926,True,False,0.41438797765035945,0.17817185003841554,0.009056984134791201,False,False
25,identity,ridge,387,5.7183215604283735,0.4225749637125895,0.1785899473590199,0.009078237216008554,True,True,0.42930264246112937,0.1734642444670029,0.008817683095014458,True,True
25,pca,ridge,387,1.3581830119127434,0.41688353595623084,0.17851915355691805,0.009074638564805573,True,True,0.4257313296119355,0.17221866687795476,0.008754366827825067,True,True
25,population,ridge,387,,0.40743220561462196,0.18023848348033567,0.00916203701655599,False,False,0.41501208482404517,0.174524054686778,0.008871556276127653,False,False
50,emotion,ridge,387,2.19261802630082,0.41365775042396224,0.18859695849936312,0.009586922180076817,True,True,0.41954089174226966,0.18308758769372346,0.009306865122979404,True,True
50,identity,ridge,387,12.201051310230694,0.4328328132532254,0.18192369078017598,0.00924770091786923,True,True,0.4405940258438868,0.17705563745179714,0.009000243860242348,True,True
50,pca,ridge,387,3.51777058691949,0.4312882206583783,0.1748094429696957,0.008886063377839195,True,True,0.43727592470930426,0.16893381585601766,0.0085873884662914,True,True
50,population,ridge,387,,0.40743220561462196,0.18023848348033567,0.00916203701655599,False,False,0.41501208482404517,0.174524054686778,0.008871556276127653,False,False
100,emotion,ridge,387,3.8567110128015285,0.4246602059789463,0.18602432608773892,0.00945614792515548,True,True,0.42962898986946446,0.18344392183999597,0.00932497860560182,True,True
100,identity,ridge,387,18.19175376260727,0.4489332410177596,0.17731236655428514,0.009013294133939745,True,True,0.45621280485014976,0.17579326072101759,0.008936073644687337,True,True
100,pca,ridge,387,4.595944922089499,0.44091923295680674,0.17424687618688975,0.008857466501141022,True,True,0.44891954375449805,0.16974677423117382,0.00862871346294181,True,True
100,population,ridge,387,,0.40743220561462196,0.18023848348033567,0.00916203701655599,False,False,0.41501208482404517,0.174524054686778,0.008871556276127653,False,False
