n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.6494048473248609,0.32141302853962467,0.24804954292838904,0.012609066889411793,False,True,0.32460223302881086,0.24788004051416165,0.012600450597465925,False,True
10,identity,ridge,387,1.1021294765164036,0.31009739176696594,0.23595809317410835,0.011994423955819683,False,True,0.31773618981652496,0.2345488045515519,0.011922785789111061,False,True
10,pca,ridge,387,2.485525285527486,0.2114085880400032,0.20775965422657275,0.010561016747449544,False,True,0.21725389974872722,0.20955671846991036,0.010652366656751153,False,True
10,population,ridge,387,,0.40743220561462196,0.18023848348033567,0.00916203701655599,False,False,0.41501208482404517,0.174524054686778,0.008871556276127653,False,False
25,emotion,ridge,387,1.0638462822947783,0.37046127570805626,0.21276178035127266,0.01081528910832958,False,True,0.3776772428722833,0.20739905947803464,0.010542686686242374,False,True
25,identity,ridge,387,2.770444904577896,0.3809536529539319,0.20487696012277454,0.010414481170937726,False,True,0.38599802873873973,0.20260865286939786,0.010299176633199385,False,True
25,pca,ridge,387,3.959553938433559,0.30441415361332685,0.20991172465334887,0.010670412635229023,False,True,0.31093617234904103,0.20996702917648274,0.010673223922132637,False,True
25,population,ridge,387,,0.40743220561462196,0.18023848348033567,0.00916203701655599,False,False,0.41501208482404517,0.174524054686778,0.008871556276127653,False,False
50,emotion,ridge,387,2.069505996982243,0.393166544160191,0.1934425264501136,0.00983323624172313,False,True,0.39749052706518145,0.18927555342117222,0.009621417098547101,False,True
50,identity,ridge,387,6.735790320002813,0.41540505417928847,0.1895877039711258,0.00963728460274592,True,True,0.41876421508593664,0.1889368312610406,0.009604198883493753,True,True
50,pca,ridge,387,4.626607420312233,0.3779566481943921,0.19174657830462521,0.009747026352541393,False,True,0.38227476207446565,0.19277698265251172,0.009799404749180457,False,True
50,population,ridge,387,,0.40743220561462196,0.18023848348033567,0.00916203701655599,False,False,0.41501208482404517,0.174524054686778,0.008871556276127653,False,False
100,emotion,ridge,387,4.091160333230997,0.4150959883671214,0.18344770776408909,0.009325171054939015,True,False,0.4213990376387692,0.1799980262764285,0.009149813889948651,True,False
100,identity,ridge,387,8.738882908025536,0.4396241920175333,0.17782278552626746,0.009039240188439058,True,True,0.44628248435483076,0.1758001628437432,0.008936424499303309,True,True
100,pca,ridge,387,5.58663837866765,0.4163754964098507,0.18623632584427052,0.009466924478416123,True,False,0.4234845527405761,0.18370013134219695,0.009338002466532247,True,False
100,population,ridge,387,,0.40743220561462196,0.18023848348033567,0.00916203701655599,False,False,0.41501208482404517,0.174524054686778,0.008871556276127653,False,False
