n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.4306611033166585,0.3275740717008416,0.2448160606666,0.012444699748705572,False,True,0.33253008547293916,0.24575032709138814,0.012492191180068887,False,True
10,identity,ridge,387,1.337299052051146,0.3133200256851292,0.23148863900617217,0.011767228832227227,False,True,0.3204322349320525,0.22936670798859463,0.011659365016718898,False,True
10,pca,ridge,387,2.938230161499463,0.21428246449975077,0.21359307391399365,0.010857546134943464,False,True,0.21706372331725934,0.21462228573561712,0.010909863912065795,False,True
10,population,ridge,387,,0.40609656037299996,0.17871339527637004,0.009084512426310698,False,False,0.4134395141646292,0.17526028348505215,0.008908980889185819,False,False
10,random,ridge,387,0.8869455548494068,0.17352363244846558,0.1759764354104791,0.008945384937442003,False,True,0.17631591367972513,0.1745549743281961,0.008873128009831473,False,True
10,shuffled,ridge,387,1.7815536528547191,0.20611204076645118,0.1860985617943721,0.009459921538198543,False,True,0.20823981440707803,0.1864368630602331,0.009477118357993714,False,True
25,emotion,ridge,387,1.5406904638698136,0.37219307373436505,0.20495739018420506,0.010418569660731031,False,True,0.37769180756254067,0.20200006720382388,0.010268240485224402,False,True
25,identity,ridge,387,3.392534152122553,0.3790628799640303,0.20570015307485182,0.010456326420370947,False,True,0.3857999377331967,0.20324674853318608,0.010331612858687098,False,True
25,pca,ridge,387,3.507654061184215,0.3271117613897252,0.20604794766873943,0.010474005813150037,False,True,0.3299024860205222,0.20476936590605457,0.010409011849529108,False,True
25,population,ridge,387,,0.40609656037299996,0.17871339527637004,0.009084512426310698,False,False,0.4134395141646292,0.17526028348505215,0.008908980889185819,False,False
25,random,ridge,387,1.1495798077121482,0.2347860494093592,0.162569841286283,0.008263889458452202,False,True,0.2371194092944738,0.16165373298929056,0.008217321056598474,False,True
25,shuffled,ridge,387,2.5467178367886407,0.2733651641503978,0.17096043760352028,0.008690407439324437,False,True,0.2749070807814107,0.17261771895768857,0.008774651785040952,False,True
50,emotion,ridge,387,2.7413725777275157,0.39695066593911954,0.1836113591938619,0.009333489924630097,False,False,0.4011648725707135,0.18132132742611995,0.009217081067764464,False,True
50,identity,ridge,387,4.607733347216166,0.4155458065963466,0.1857911773249993,0.009444296307491279,True,True,0.4193778705853947,0.1864923775682275,0.00947994031902767,True,True
50,pca,ridge,387,4.00079992097212,0.3826304072438154,0.19230599687360084,0.009775463196536823,False,True,0.3884336210307395,0.19171957892506752,0.009745653896947254,False,True
50,population,ridge,387,,0.40609656037299996,0.17871339527637004,0.009084512426310698,False,False,0.4134395141646292,0.17526028348505215,0.008908980889185819,False,False
50,random,ridge,387,1.4260379261988994,0.2711332419356042,0.1573032823262044,0.007996175221124084,False,True,0.2737503012048339,0.15629566021999072,0.007944954910913045,False,True
50,shuffled,ridge,387,3.0449087237260186,0.30696984045089065,0.1656853684050548,0.008422260602267254,False,True,0.3101728714598016,0.16714504803607527,0.008496460287892004,False,True
100,emotion,ridge,387,4.412699194095494,0.41889662684157997,0.17582906943699472,0.00893789390401799,True,True,0.42640247592014424,0.17429657836750995,0.00885999300497002,True,True
100,identity,ridge,387,14.75932802137283,0.4366516622092241,0.17665395450214236,0.008979825168392568,True,True,0.4445494992419156,0.17729582318623924,0.00901245318728125,True,True
100,pca,ridge,387,5.018389141029881,0.4212613537786395,0.1809546082974331,0.009198439686818343,True,True,0.4280990789836753,0.18008176091354122,0.009154070360764321,True,False
100,population,ridge,387,,0.40609656037299996,0.17871339527637004,0.009084512426310698,False,False,0.4134395141646292,0.17526028348505215,0.008908980889185819,False,False
100,random,ridge,387,1.7004768721983334,0.29809745155641193,0.15184788488880702,0.007718861784524331,False,True,0.3000446352982625,0.151814302221818,0.007717154681623071,False,True
100,shuffled,ridge,387,4.046844502194173,0.3395966589575416,0.15436255014217262,0.007846689403192109,False,True,0.3426342398544163,0.15420323954205162,0.007838591190273015,False,True
