n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.5955852384656927,0.32941316567402756,0.2620201316291668,0.013319231823936278,False,True,0.33135555210247003,0.2656621335222696,0.01350436518455188,False,True
10,identity,ridge,387,0.5110125025064175,0.30786075670016383,0.23923188257699773,0.01216084002365657,False,True,0.3145209398459134,0.23804867629361726,0.012100694268115211,False,True
10,pca,ridge,387,1.4989660156815101,0.22244312841721603,0.2176225290330409,0.011062374849901498,False,True,0.22976797268583654,0.21527634276729316,0.010943111499481323,False,True
10,population,ridge,387,,0.41381535685647897,0.17886492519419464,0.009092215124920987,False,False,0.41956095802632326,0.17614589596404626,0.008953999101490924,False,False
25,emotion,ridge,387,0.6615071503662074,0.39223679392290756,0.2040511900334458,0.010372504918255705,False,True,0.395064913208973,0.20557560881212011,0.010449995479701041,False,True
25,identity,ridge,387,0.7091279703597689,0.38738941402025145,0.2052496591884329,0.010433426529163459,False,True,0.39416780140239327,0.20366183277374775,0.010352712776438181,False,True
25,pca,ridge,387,3.8718066498901136,0.32366316417482927,0.20479242149261764,0.010410183830858791,False,True,0.3289365954399636,0.20387982497599258,0.010363793942833512,False,True
25,population,ridge,387,,0.41381535685647897,0.17886492519419464,0.009092215124920987,False,False,0.41956095802632326,0.17614589596404626,0.008953999101490924,False,False
50,emotion,ridge,387,2.1840858677138497,0.409344624199575,0.18002900742191896,0.009151388750080173,False,False,0.4143633037535271,0.1777786942252331,0.009036998901648443,False,False
50,identity,ridge,387,2.339995382702476,0.42565545436295904,0.18495674813299015,0.009401879887882882,True,True,0.43064506931282354,0.18496661176445073,0.009402381284448223,True,True
50,pca,ridge,387,5.307817760931666,0.38238895641353154,0.19648003305279718,0.00998764137981816,False,True,0.38997162187843715,0.19709551054055355,0.010018927858803078,False,True
50,population,ridge,387,,0.41381535685647897,0.17886492519419464,0.009092215124920987,False,False,0.41956095802632326,0.17614589596404626,0.008953999101490924,False,False
100,emotion,ridge,386,3.279979306177719,0.42544520460454205,0.17703845268315999,0.009011019984540099,True,False,0.4311839252570115,0.1740991611023919,0.008861413982153189,True,False
100,identity,ridge,386,7.0955453717944055,0.44682885021133795,0.18023746270576865,0.009173845307556563,True,True,0.4532884029573855,0.17787781950874004,0.00905374263108965,True,True
100,pca,ridge,386,5.327802908927163,0.42141347739103074,0.18991078707337555,0.009666204554219454,True,False,0.43055055224445055,0.18778662708443605,0.00955808765746285,True,True
100,population,ridge,386,,0.4139736520218813,0.17906992182133716,0.009114419041211996,False,False,0.4197162642828768,0.17634797576237715,0.008975875634610804,False,False
