n_train,mediator,head,fold,domain,user_id,ccc,srocc,plcc,eff_dof
10,emotion,ridge,0,art,3,-0.007257423807189931,-0.02513176677149683,-0.04886177561670637,1.2453715182301783
10,emotion,ridge,0,art,14,0.39963707659584213,0.4757485095107082,0.4809919192812579,1.2531151321070384
10,emotion,ridge,0,art,15,-0.024280529390664912,-0.3146931729891656,-0.23696023944813935,1.214179760522854
10,emotion,ridge,0,art,19,0.5004650245624751,0.653747822784286,0.6564386069913255,1.2242875914171694
10,emotion,ridge,0,art,21,0.28962288786046114,0.47900986523361067,0.4784565159566728,1.1070232276051741
10,emotion,ridge,0,art,22,0.06628585722357533,0.21816992122753706,0.18348092317445058,1.1687879110716943
10,emotion,ridge,0,art,30,0.03723473291334064,0.09569142269421234,0.11462173741416555,1.2740557544325473
10,emotion,ridge,0,art,50,0.10344387874929374,0.39065743852811474,0.36442374707872155,1.2386917415119318
10,emotion,ridge,0,art,57,-0.08245871665134341,-0.1390170524354081,-0.14276814516973477,1.2289139456530942
10,emotion,ridge,0,art,62,0.12281746721586591,0.33859331725201885,0.283369504103398,1.1194480605726813
10,emotion,ridge,0,art,63,0.041421210617959475,0.16352326804773684,0.12782394938354077,1.0970216381322113
10,emotion,ridge,0,art,79,0.16472885686166258,0.3421415376098702,0.3546745545481475,1.1931145855081204
10,emotion,ridge,0,art,80,0.39031182631889666,0.5135788193776403,0.5175529504863112,1.1734496126374503
10,emotion,ridge,0,art,85,0.1143061322390901,0.20982921917706293,0.2154658568925241,1.2079227620457138
10,emotion,ridge,0,art,86,0.2259429901397887,0.5082062060754181,0.5930322354285907,1.2575402238255111
10,emotion,ridge,0,art,98,0.12537954640891008,0.3145196837013138,0.30711171295599327,1.1228939985811404
10,emotion,ridge,0,art,99,0.48762599553866914,0.7154021580493958,0.7190134990483772,1.152648111823141
10,emotion,ridge,0,art,105,-0.04002385409377838,-0.17803511317180049,-0.17773443032210273,1.1218543067518698
10,emotion,ridge,0,art,109,0.08257309484124488,0.5350826447175289,0.5109727446561707,1.0561456934611937
10,emotion,ridge,0,art,110,0.16171879705769593,0.32261465747338747,0.3310114147767613,1.0937615160890664
10,emotion,ridge,0,art,116,0.461994435527082,0.5750502349494399,0.5922898361133546,1.2849209215676796
10,emotion,ridge,0,art,117,0.4194450967062825,0.698391841891699,0.7273259234563433,1.1604401156374404
10,emotion,ridge,0,art,126,0.2614910008338733,0.30585714360853056,0.312406212473276,1.2156146643131307
10,emotion,ridge,0,art,127,0.47155617552026713,0.6107351777424858,0.6324314795067488,1.202384546309549
10,emotion,ridge,0,art,136,0.24072879387153365,0.40359097368948765,0.42279416114590623,1.169888396981381
10,emotion,ridge,0,art,144,0.5373001925521911,0.6557170270000957,0.6808461357239626,1.2957732660667869
10,emotion,ridge,0,fashion,3,0.0006745984660724895,0.45802948292673784,0.4570005024424794,0.002211182924920538
10,emotion,ridge,0,fashion,14,0.00031626884983119795,0.39517956785576447,0.4480207991696858,0.0022120129987561942
10,emotion,ridge,0,fashion,15,-3.556645637996705e-05,-0.07807160353795381,-0.11366427962366499,0.0022113066230911847
10,emotion,ridge,0,fashion,19,-0.00013870748455031227,-0.1917375666545218,-0.23236291494794495,0.0022115961794118254
10,emotion,ridge,0,fashion,21,0.0003637104024212106,0.29196524820141767,0.2757312924896018,0.002210832127213106
10,emotion,ridge,0,fashion,22,0.00024191508157203693,0.3462858170718097,0.3381110199874122,0.002210232834398674
10,emotion,ridge,0,fashion,30,0.0007044949714297142,0.5947872324373317,0.5671781482861333,0.002211352188080134
10,emotion,ridge,0,fashion,50,2.3691845867108948e-05,-0.029039908670490014,0.07804143136181414,0.0022113446122109196
10,emotion,ridge,0,fashion,57,0.0005030711846752972,0.21679801060313406,0.2020620808988028,0.0022110738242644896
10,emotion,ridge,0,fashion,62,0.00010993430384124814,0.16959591125748433,0.10592910273933423,0.002211718330709292
10,emotion,ridge,0,fashion,63,0.0005169965478396349,0.312747546421646,0.32572469779936164,0.0022111621780006242
10,emotion,ridge,0,fashion,79,0.0015337758364205143,0.4167495199061799,0.49094774236908795,0.0022106096284325786
10,emotion,ridge,0,fashion,80,0.0007445825254721543,0.37328187449706485,0.39042489874835457,0.002211455072633321
10,emotion,ridge,0,fashion,85,0.0004767665176412269,0.4492884926387944,0.4377967466887602,0.0022107440779779155
10,emotion,ridge,0,fashion,86,-4.7125059802613464e-05,-0.11707830034426632,-0.12946492410504476,0.0022100617243318694
10,emotion,ridge,0,fashion,98,0.0006134046009793337,0.35621398728109854,0.36703376220538597,0.0022104853284056164
10,emotion,ridge,0,fashion,99,0.0007412389444409439,0.4205879331075288,0.4708888989448394,0.0022105601055612714
10,emotion,ridge,0,fashion,105,0.00016460564566586367,0.04347485539796044,0.0777329753166646,0.002210821463643469
10,emotion,ridge,0,fashion,109,0.000255133449376739,0.5220960307873443,0.5924456091541332,0.002210574992947633
10,emotion,ridge,0,fashion,110,0.0002003138392191978,0.38720420721368115,0.388932682488315,0.002210336165562146
10,emotion,ridge,0,fashion,116,-0.0005494325861558319,-0.24382069110673257,-0.37745436840049895,0.0022110178860611446
10,emotion,ridge,0,fashion,117,0.0013292317586646519,0.5117536540525744,0.5547933815842222,0.002210397438186791
10,emotion,ridge,0,fashion,126,-4.3370921593397394e-05,-0.0350975421033658,-0.07715597988290317,0.002211562586025208
10,emotion,ridge,0,fashion,127,0.001133368245736305,0.49939245238959673,0.4804611873147259,0.002210234148048246
10,emotion,ridge,0,fashion,136,0.0005464128766566405,0.4485796947496304,0.45344107278671886,0.002211558264977355
10,emotion,ridge,0,fashion,144,0.0010159540999907916,0.575563673555709,0.5226016088933598,0.0022105832341162497
10,emotion,ridge,0,landscape,3,0.11374030670054408,0.16141354859630158,0.140185211696927,1.8388701600356776
10,emotion,ridge,0,landscape,14,0.14939199340042408,0.269805136396103,0.30550725053095007,1.9820751518689657
10,emotion,ridge,0,landscape,15,-0.06255453123065946,-0.013602720816272094,-0.07736966883051667,2.1836507414685022
10,emotion,ridge,0,landscape,19,0.3014592912215097,0.4463667278414778,0.47565023761084485,1.9402942185323766
10,emotion,ridge,0,landscape,21,0.09576961343130887,0.27653709318491154,0.2307152877289955,1.9050665008531953
10,emotion,ridge,0,landscape,22,0.3663898185909177,0.3797578835039307,0.4075157684024655,1.8273088609272035
10,emotion,ridge,0,landscape,30,0.15831373804499635,0.1654374582432122,0.18870022775224687,2.031731887789164
10,emotion,ridge,0,landscape,50,0.009412631155244518,-0.006847701899348712,0.009613932683319096,2.0664961152265353
10,emotion,ridge,0,landscape,57,0.15743430853250762,0.39445375852765163,0.3832696992748743,1.777132259791326
10,emotion,ridge,0,landscape,62,0.3481867915975556,0.3310809584492565,0.4282952185958767,2.2439262074025232
10,emotion,ridge,0,landscape,63,0.1077951962407816,0.1575599820504201,0.1801753377247948,2.047971153514818
10,emotion,ridge,0,landscape,79,0.2585239839110956,0.3875413324735165,0.3810369066150925,2.162379404382548
10,emotion,ridge,0,landscape,80,0.5416427552592544,0.7178745783378002,0.7170944949956254,1.62569997797093
10,emotion,ridge,0,landscape,85,0.14849907749264285,0.22938707841269748,0.21777772065007675,1.9871637778170628
10,emotion,ridge,0,landscape,86,0.3563781874994692,0.522870743269042,0.5041392926153928,1.9850380873934759
10,emotion,ridge,0,landscape,98,0.2034692791128509,0.190158660456029,0.20559894039283916,2.3347781010075743
10,emotion,ridge,0,landscape,99,0.43603498832081106,0.5900011091652366,0.5458344997158354,1.9182095409209612
10,emotion,ridge,0,landscape,105,0.17900644972543991,0.32416952396090626,0.3700873089568115,2.156493501234482
10,emotion,ridge,0,landscape,109,0.24040222438494344,0.284799422984059,0.3284863108993419,2.373032401964405
10,emotion,ridge,0,landscape,110,0.5544465291324964,0.729676387148861,0.7133054071652091,1.8184551400715283
10,emotion,ridge,0,landscape,116,0.3275658126749306,0.377248147328864,0.4338435320619951,1.9761603738569047
10,emotion,ridge,0,landscape,117,0.38644463804783347,0.49753665227779087,0.44322353148432037,1.694399159486985
10,emotion,ridge,0,landscape,126,0.1879216122450199,0.23107763630333503,0.22883850403017805,1.7635971361659137
10,emotion,ridge,0,landscape,127,0.1588957139223683,0.29662589513713145,0.2528251886934367,1.6509851922519854
10,emotion,ridge,0,landscape,136,0.22129380740159224,0.38387719902741363,0.4098371678241155,2.048850225992924
10,emotion,ridge,0,landscape,144,0.4168293006750599,0.5242328368720139,0.5204545138539755,2.1447369676984778
10,emotion,ridge,1,art,5,0.020063358415108905,0.09606398121462076,0.13716614965741888,0.5172031124239207
