fold,domain,user_id,mediator,head,eff_dof,ccc,srocc,plcc,n_train,seed,stage2_variant
0,art,3,population,lasso,,0.06244597436658254,0.09650990358644981,0.08555433108989885,10,0,B
0,art,3,identity,lasso,8.990212788190304,0.13545412810110127,0.2289293296748629,0.17280674309348928,10,0,B
0,art,3,pca,lasso,2.8568390160484602,0.12481490525958419,0.24538990206321173,0.1959783457039444,10,0,B
0,art,3,emotion,lasso,4.988038879662524,0.041264340123915534,0.08749578061187785,0.06121947159915289,10,0,B
0,art,14,population,lasso,,0.31370112526113064,0.6348446126598832,0.6277535882340936,10,0,B
0,art,14,identity,lasso,8.989001149186878,0.33415348406407125,0.39418878382511796,0.4124213314824635,10,0,B
0,art,14,pca,lasso,2.6709411953709643,0.40357202085302146,0.6763695399882349,0.6536891566806364,10,0,B
0,art,14,emotion,lasso,5.293374958108338,0.4412157465762699,0.5156839659365392,0.5364835253974165,10,0,B
0,art,15,population,lasso,,0.170330874319862,0.24841961917707003,0.23491191478839452,10,0,B
0,art,15,identity,lasso,8.989851710086366,0.13931947348691687,0.17465842827562705,0.14975917248710593,10,0,B
0,art,15,pca,lasso,2.7811154078977145,0.2251185743310849,0.2876633341347132,0.23961817619848297,10,0,B
0,art,15,emotion,lasso,5.004931219712061,0.21969568770804573,0.2561196715029946,0.24413644922533628,10,0,B
0,art,19,population,lasso,,0.5100816440178864,0.5784765375270383,0.5871520125362644,10,0,B
0,art,19,identity,lasso,8.990014633367624,0.4868154438813185,0.5743862489974861,0.578601296006859,10,0,B
0,art,19,pca,lasso,2.7286273995196417,0.30001627499050537,0.39770573714780344,0.42085128302473024,10,0,B
0,art,19,emotion,lasso,4.792064589127777,0.5295783807745513,0.6389828788239511,0.644492813956156,10,0,B
0,art,21,population,lasso,,0.2594251237736896,0.4606521793022512,0.4698586977453104,10,0,B
0,art,21,identity,lasso,8.989338413375965,0.2559204803870091,0.3043855212509252,0.32755889886190653,10,0,B
0,art,21,pca,lasso,2.93704910768422,0.26413333187338617,0.4201646801933624,0.42049913041754755,10,0,B
0,art,21,emotion,lasso,5.018489541763792,0.27591817726575624,0.4221261863613707,0.41586220370309407,10,0,B
0,art,22,population,lasso,,0.29209273306723527,0.40605604620344987,0.4261343742780548,10,0,B
0,art,22,identity,lasso,8.988346255945537,0.33471437690980976,0.30984900216292033,0.37231052517276375,10,0,B
0,art,22,pca,lasso,2.9228246032184573,0.20888803933822914,0.3895508903685615,0.3541861879262763,10,0,B
0,art,22,emotion,lasso,4.2780398088133715,0.19331171759431431,0.369248088058389,0.3695053250770183,10,0,B
0,art,30,population,lasso,,-0.2006022222447219,-0.24192374150908877,-0.2277854896623564,10,0,B
0,art,30,identity,lasso,8.990127393630146,-0.1774309328351843,-0.1669530971657162,-0.18955455120499812,10,0,B
0,art,30,pca,lasso,2.9471648004874447,-0.14767916365288125,-0.22105460436337426,-0.23051616660166965,10,0,B
0,art,30,emotion,lasso,5.4612214276092175,-0.15362237416572344,-0.21111456510676613,-0.20188699204993055,10,0,B
0,art,50,population,lasso,,0.49205459199587953,0.48744075438804885,0.5156871375572091,10,0,B
0,art,50,identity,lasso,8.989425811245164,0.4566925888594683,0.4645073164994993,0.5106676139420294,10,0,B
0,art,50,pca,lasso,2.805829125198377,0.279665069617981,0.46492811352497726,0.35912542038853057,10,0,B
0,art,50,emotion,lasso,5.149671344437752,0.4393885441662701,0.4509366124278346,0.4797421459892354,10,0,B
0,art,57,population,lasso,,0.45601703052739867,0.5326254756634917,0.5293606739522505,10,0,B
0,art,57,identity,lasso,8.989096223135403,0.4652272567347947,0.49278922125098673,0.5381067044646838,10,0,B
0,art,57,pca,lasso,2.866491007576925,0.41530816014735067,0.5048657812306351,0.4943313630193058,10,0,B
0,art,57,emotion,lasso,4.964278896990642,0.43540401455545547,0.4868329088628344,0.488539376827213,10,0,B
0,art,62,population,lasso,,0.263475203195587,0.49430687187198796,0.5093199706610158,10,0,B
0,art,62,identity,lasso,8.989788364922644,0.3958257330563004,0.5323494059178906,0.5163953945739155,10,0,B
0,art,62,pca,lasso,2.733938942644753,0.34780946622172804,0.5428812329370668,0.553828661256384,10,0,B
0,art,62,emotion,lasso,4.471247009478086,0.32939677907286063,0.4645323141775881,0.44442200950612804,10,0,B
0,art,63,population,lasso,,0.12804777934943723,0.16262231340284578,0.17901892288946367,10,0,B
0,art,63,identity,lasso,8.989205843971634,-0.059697211338758896,-0.0604140142435318,-0.07506088631383481,10,0,B
0,art,63,pca,lasso,2.831107412403774,0.253313450191843,0.3278473846687103,0.32162949056780177,10,0,B
0,art,63,emotion,lasso,4.6236437649080795,0.21063189874052635,0.3044225639015413,0.2964847494997089,10,0,B
0,art,79,population,lasso,,0.4557779033208845,0.46484688180690287,0.5088420310205154,10,0,B
0,art,79,identity,lasso,8.989598664024593,0.456203764789201,0.4615428853807193,0.5150164525935214,10,0,B
0,art,79,pca,lasso,3.132369331976425,0.3620739553170455,0.45305415610113997,0.46911068440070725,10,0,B
0,art,79,emotion,lasso,4.91340090651277,0.42016138101817824,0.4518850496734135,0.4812129734706434,10,0,B
0,art,80,population,lasso,,0.3463860690637057,0.6837564576332503,0.6692933798909327,10,0,B
0,art,80,identity,lasso,8.989635064196657,0.20571052032152096,0.29486321732395226,0.2674919049711871,10,0,B
0,art,80,pca,lasso,2.7036600811963454,0.3518384950246136,0.7057655748210427,0.7141377033557016,10,0,B
0,art,80,emotion,lasso,4.393608369065481,0.4430998511373531,0.5317559920550583,0.5414003081695551,10,0,B
0,art,85,population,lasso,,0.047278400055445535,0.01661762040951794,0.08824923961932185,10,0,B
0,art,85,identity,lasso,8.98944789010945,0.12847493284643166,0.13634579681570838,0.14362136540329673,10,0,B
0,art,85,pca,lasso,2.8324037961602406,-0.04040278890520981,-0.05000531646166866,-0.053090160278441136,10,0,B
0,art,85,emotion,lasso,4.759783614815436,0.15613253197509386,0.1308065900125357,0.17670765285227796,10,0,B
0,art,86,population,lasso,,0.398131696921942,0.6351343826170743,0.643665389278786,10,0,B
0,art,86,identity,lasso,8.989044204394965,0.5738906621432892,0.651617279570773,0.6537973688390492,10,0,B
0,art,86,pca,lasso,2.85511286276123,0.4243271253878194,0.5698936946745901,0.5612170493894025,10,0,B
0,art,86,emotion,lasso,4.950902361325605,0.5770747193253323,0.6375525321701618,0.6435152803463324,10,0,B
0,art,98,population,lasso,,0.202111263935649,0.3866802881424239,0.3879868321891357,10,0,B
0,art,98,identity,lasso,8.989336544776851,0.177310312942186,0.18094370143669064,0.2259245426585586,10,0,B
0,art,98,pca,lasso,3.0293833479391203,0.1845222424910404,0.38963768996378084,0.40392946275880864,10,0,B
0,art,98,emotion,lasso,4.046368894297463,0.21540521255756837,0.3923486416333581,0.3868586774924731,10,0,B
0,art,99,population,lasso,,0.4712366498744009,0.7175395719798754,0.731849245974576,10,0,B
0,art,99,identity,lasso,8.989790751169435,0.5324322249949176,0.6933965100833216,0.7049114578215038,10,0,B
0,art,99,pca,lasso,2.8790017154392014,0.29710475403060754,0.6067340907202385,0.6280014685735186,10,0,B
0,art,99,emotion,lasso,4.2532490516647625,0.5496828979459357,0.7432371167349601,0.7373816950333566,10,0,B
0,art,105,population,lasso,,0.19539536554335737,0.2579347676457762,0.25176478727640533,10,0,B
0,art,105,identity,lasso,8.98961197281997,0.20366154600919875,0.349163477604868,0.288601045649016,10,0,B
0,art,105,pca,lasso,2.9839598491033357,0.133049640330323,0.17873075692965848,0.1947607061430986,10,0,B
0,art,105,emotion,lasso,4.935997770100268,0.1127893535568697,0.24680446752004825,0.24280551859694405,10,0,B
0,art,109,population,lasso,,0.36351336096781284,0.4497326599499079,0.47881967156644123,10,0,B
0,art,109,identity,lasso,8.988863612705575,0.3994030481636427,0.4170303526190164,0.44975589861390536,10,0,B
0,art,109,pca,lasso,2.6719477586967875,0.39612931362332715,0.46446388507883885,0.4493200890056914,10,0,B
0,art,109,emotion,lasso,4.194801804396702,0.37255492165681364,0.47514528886648305,0.48478002283903465,10,0,B
0,art,110,population,lasso,,0.3220496067491026,0.4865427806559464,0.5087595812214964,10,0,B
0,art,110,identity,lasso,8.989735930824365,0.42198538895516874,0.5019592185728015,0.5016681696107143,10,0,B
0,art,110,pca,lasso,2.8378586309267706,0.3529399733977477,0.48222617803922707,0.4477475715733799,10,0,B
0,art,110,emotion,lasso,4.130982882199435,0.3572180321021569,0.42343816144961965,0.4317664369463446,10,0,B
0,art,116,population,lasso,,0.36766002758745114,0.5825308081123058,0.5988767191502403,10,0,B
0,art,116,identity,lasso,8.989754421834178,0.5362350106897704,0.5421156309572247,0.5512178589308245,10,0,B
0,art,116,pca,lasso,2.9966587027393317,0.4731641245863815,0.6161682847506964,0.6257602147841508,10,0,B
0,art,116,emotion,lasso,5.49205552993187,0.5404828364474695,0.5640050933666848,0.5887894542387658,10,0,B
0,art,117,population,lasso,,0.4300957843084696,0.7340510690551971,0.7427844449451173,10,0,B
0,art,117,identity,lasso,8.989903979293905,0.42652372437933356,0.6733128249855026,0.6861310523869104,10,0,B
0,art,117,pca,lasso,2.707830693740999,0.35664731364852037,0.6818847545921126,0.6602332352875594,10,0,B
0,art,117,emotion,lasso,4.759807648101626,0.43993600591669685,0.6845298071564381,0.7135072230442268,10,0,B
0,art,126,population,lasso,,0.38637649658734474,0.47267040866740073,0.4782998609015313,10,0,B
0,art,126,identity,lasso,8.98977195057513,0.4090614583109163,0.4920203535222224,0.5282042065902929,10,0,B
0,art,126,pca,lasso,2.8304149112917947,0.2774082953948888,0.38000731396822907,0.40052382788574525,10,0,B
0,art,126,emotion,lasso,5.11660855879187,0.35513740168565966,0.43096709240268316,0.43314539876512204,10,0,B
0,art,127,population,lasso,,0.252174374800148,0.45159857309690626,0.4895661146221735,10,0,B
0,art,127,identity,lasso,8.989731002006675,0.2917017624111457,0.4194571990473058,0.4171376642865401,10,0,B
0,art,127,pca,lasso,2.9008371033395934,0.2914297422825156,0.43471821787085657,0.46996438114906436,10,0,B
0,art,127,emotion,lasso,4.612929637512161,0.4412318804885725,0.510925170388459,0.5503460017525611,10,0,B
0,art,136,population,lasso,,0.36244528725877473,0.3371409319202754,0.3803233566306861,10,0,B
0,art,136,identity,lasso,8.98857521134111,0.3640922501181324,0.4165620218428379,0.4760634571453305,10,0,B
0,art,136,pca,lasso,2.7069182798239293,0.15270874163703424,0.22784390321827505,0.2817148210935327,10,0,B
0,art,136,emotion,lasso,4.573992423494864,0.2692136905885447,0.3454338971330731,0.373953635135094,10,0,B
0,art,144,population,lasso,,0.1756245052601044,0.6770972883882282,0.6817389780652593,10,0,B
0,art,144,identity,lasso,8.98890459562461,0.6363488089894666,0.6680774906151098,0.6706500916481016,10,0,B
0,art,144,pca,lasso,2.5926700515204315,0.5549861395035641,0.658834981785865,0.6427755386262659,10,0,B
0,art,144,emotion,lasso,4.708868287624675,0.6196659060269033,0.6503719616530627,0.660277620667791,10,0,B
0,fashion,3,population,lasso,,0.2396605581041413,0.4839319071524737,0.4956097398022119,10,0,B
0,fashion,3,identity,lasso,8.9793256393379,0.2860941794392656,0.49948986956118435,0.5089199644021546,10,0,B
0,fashion,3,pca,lasso,5.701072390730957,0.12728304030530777,0.35327475150989435,0.3565451171710003,10,0,B
0,fashion,3,emotion,lasso,4.787795443737009,0.3538192838547771,0.4669370628652516,0.47226330955479906,10,0,B
0,fashion,14,population,lasso,,0.228066268152598,0.4560145842561296,0.5475740518544311,10,0,B
0,fashion,14,identity,lasso,8.979440681287382,0.2280554883187477,0.5172519508905679,0.5618640099624971,10,0,B
0,fashion,14,pca,lasso,5.784409770740943,0.16400913098448944,0.5557524283896854,0.5795161614349653,10,0,B
0,fashion,14,emotion,lasso,5.76402815036097,0.2170901282211838,0.5002606687289675,0.5894179516969777,10,0,B
0,fashion,15,population,lasso,,-0.0035331340501664537,-0.0264934171617345,-0.007926371612955485,10,0,B
0,fashion,15,identity,lasso,8.979643753556754,0.004978306576646,-0.0065014520642293246,0.0056820424154752636,10,0,B
0,fashion,15,pca,lasso,5.543949786070963,0.013558246922661367,0.03212800895073325,0.01767205693001207,10,0,B
0,fashion,15,emotion,lasso,4.803548153231158,-0.03941455831531219,-0.057266956932419975,-0.0450905127122954,10,0,B
0,fashion,19,population,lasso,,0.3114006469586485,0.3881165033055951,0.4585400395299601,10,0,B
0,fashion,19,identity,lasso,8.979516523406614,0.28903816266841403,0.4268196401683152,0.47639762466348895,10,0,B
0,fashion,19,pca,lasso,6.220159182640612,0.07081693377099176,0.12711577661187112,0.1349522617785679,10,0,B
0,fashion,19,emotion,lasso,5.376900195632659,0.13022803062105145,0.284925362698316,0.2954660510208062,10,0,B
0,fashion,21,population,lasso,,0.09668405940407297,0.14585631970193683,0.1786397776636118,10,0,B
0,fashion,21,identity,lasso,8.979635490293347,0.13479285506524327,0.18723364073965285,0.23074766401338778,10,0,B
0,fashion,21,pca,lasso,5.5993578654730785,0.11818781414896427,0.164498848960688,0.2804083889720195,10,0,B
0,fashion,21,emotion,lasso,4.9545861896646155,0.1710071106695376,0.2545791461648977,0.2697316383399709,10,0,B
0,fashion,22,population,lasso,,0.16015398905354156,0.4079398013921249,0.38454690542816017,10,0,B
0,fashion,22,identity,lasso,8.978462329898464,0.169562493243266,0.3776732999985156,0.3847397927342004,10,0,B
0,fashion,22,pca,lasso,5.759113623605254,0.11757236221369737,0.38644619895318494,0.37710370020024014,10,0,B
0,fashion,22,emotion,lasso,4.30985611543791,0.1507766372660141,0.3727994672459215,0.3831883179191952,10,0,B
0,fashion,30,population,lasso,,0.194648689746304,0.38992434587068125,0.3596195521420531,10,0,B
0,fashion,30,identity,lasso,8.979559932729147,0.16161190720435276,0.3354828278077899,0.3268931985646166,10,0,B
0,fashion,30,pca,lasso,6.131645285611713,0.10833064337542689,0.23935409445517317,0.27311391538117097,10,0,B
0,fashion,30,emotion,lasso,5.282777285138319,0.2853095820760801,0.43592916560112827,0.4639123914236421,10,0,B
0,fashion,50,population,lasso,,0.03787796534901183,0.019838618926909843,0.0640800836267629,10,0,B
0,fashion,50,identity,lasso,8.980053983668368,0.04037523164056268,-0.010584142537413025,0.06236749242463669,10,0,B
0,fashion,50,pca,lasso,5.924116527737175,0.010435904751890095,-0.0846731402993042,0.0217525637413012,10,0,B
0,fashion,50,emotion,lasso,5.1576657802422865,0.036203885306104425,-0.06260068224389513,0.05343256924699588,10,0,B
0,fashion,57,population,lasso,,0.07920419255406654,0.20213833560044592,0.14455378707669053,10,0,B
0,fashion,57,identity,lasso,8.979633955794103,0.10393330689894778,0.24167816324854133,0.17626961132620408,10,0,B
0,fashion,57,pca,lasso,5.746142214643157,0.07632451539384338,0.23388375858161914,0.19125815765115278,10,0,B
0,fashion,57,emotion,lasso,4.797525721843272,0.24695049938400584,0.2887026841198402,0.26247367164436425,10,0,B
0,fashion,62,population,lasso,,0.14397859756846207,0.29439797253124367,0.2800335864237131,10,0,B
0,fashion,62,identity,lasso,8.97921393526344,0.1305558331649958,0.2957836076347694,0.2833511071333033,10,0,B
0,fashion,62,pca,lasso,6.259156086002791,0.09569260267135467,0.2427830649249086,0.269318543119822,10,0,B
0,fashion,62,emotion,lasso,5.395734712595349,0.11705509634378236,0.24372331731658683,0.19373006747207575,10,0,B
0,fashion,63,population,lasso,,0.14940974929720172,0.18998589373809346,0.2378652494280946,10,0,B
0,fashion,63,identity,lasso,8.979167242664895,0.16718794485440455,0.24022927152477122,0.26159734556007136,10,0,B
0,fashion,63,pca,lasso,5.972422507441045,0.15628398698853171,0.2710445439843936,0.28280316346050033,10,0,B
0,fashion,63,emotion,lasso,5.170176199106826,0.20783637889907466,0.27494015379290343,0.2969158422985538,10,0,B
0,fashion,79,population,lasso,,0.4381951747783783,0.4553763346583937,0.5367848430143122,10,0,B
0,fashion,79,identity,lasso,8.979324411710232,0.40029507939853015,0.43304040464252475,0.5264667798842554,10,0,B
0,fashion,79,pca,lasso,5.734080915089102,0.4407164587126169,0.45102185288924496,0.6036780489988356,10,0,B
0,fashion,79,emotion,lasso,4.202807269795103,0.47623654203763754,0.4043008249661428,0.49607151157386875,10,0,B
0,fashion,80,population,lasso,,0.1371169223818804,0.2796556776962023,0.2862229815809446,10,0,B
0,fashion,80,identity,lasso,8.979359800541106,0.08131805125306844,0.14136870885814673,0.15453454553505588,10,0,B
0,fashion,80,pca,lasso,5.960067883730191,0.22279190119955114,0.3115003245704769,0.31243708874490767,10,0,B
0,fashion,80,emotion,lasso,5.269789670571869,0.3341606538584416,0.3567480947067349,0.357466544004412,10,0,B
0,fashion,85,population,lasso,,0.24003265423921621,0.3949097365807394,0.41386976703149986,10,0,B
0,fashion,85,identity,lasso,8.9794777783359,0.2535376712083311,0.42475413524912947,0.42092646592678407,10,0,B
0,fashion,85,pca,lasso,5.913718540742115,0.17165429079809605,0.3237158498067217,0.3518060998164837,10,0,B
0,fashion,85,emotion,lasso,4.659817809646836,0.2986198428256264,0.4958988549742701,0.46776157360407067,10,0,B
0,fashion,86,population,lasso,,0.06894700156271862,0.1258841896009291,0.15462295231988998,10,0,B
0,fashion,86,identity,lasso,8.979562997703834,0.03468128120180646,0.12508365421395973,0.07471581717118998,10,0,B
0,fashion,86,pca,lasso,5.773285848201945,0.07221292643871315,0.2628257742343722,0.2787445401493626,10,0,B
0,fashion,86,emotion,lasso,3.7355131475276333,0.0036975040149815784,0.005653781170470979,0.010185361883974328,10,0,B
0,fashion,98,population,lasso,,0.1501533178962835,0.29205914624811036,0.3262209613528578,10,0,B
0,fashion,98,identity,lasso,8.979668622302402,0.09943669288226878,0.15844822253594965,0.180455304487914,10,0,B
0,fashion,98,pca,lasso,5.702638939713036,0.1812506163400374,0.28837772843826026,0.2843568254486344,10,0,B
0,fashion,98,emotion,lasso,4.954451453637155,0.3352450090399714,0.4083428634685765,0.3439244375038017,10,0,B
0,fashion,99,population,lasso,,0.23612794513757815,0.4179914088845003,0.43925436245729843,10,0,B
0,fashion,99,identity,lasso,8.979270233212121,0.24164247955078536,0.4082421952923747,0.459204901375127,10,0,B
0,fashion,99,pca,lasso,6.229604292364434,0.28716956917709563,0.44728804068395317,0.5029145513854336,10,0,B
0,fashion,99,emotion,lasso,4.758662823224984,0.4447201683407697,0.4529220083376941,0.4789712524401927,10,0,B
0,fashion,105,population,lasso,,0.050754248107858245,0.06910712486382817,0.10191217832226677,10,0,B
0,fashion,105,identity,lasso,8.979882398996862,0.09813196230750126,0.12531916549944772,0.13741724367033248,10,0,B
0,fashion,105,pca,lasso,5.815322937636957,0.11858406381917495,0.17421521957294075,0.21915169994782638,10,0,B
0,fashion,105,emotion,lasso,5.039736195637227,0.10292315228971295,0.1288455762883864,0.1199214496267924,10,0,B
0,fashion,109,population,lasso,,0.35344070422277435,0.47583050850171443,0.5518199729279372,10,0,B
0,fashion,109,identity,lasso,8.979302751771938,0.320877378991319,0.47902298156194956,0.5456340183259762,10,0,B
0,fashion,109,pca,lasso,6.182472827977826,0.18558311196913888,0.3538070937549489,0.3988845409258011,10,0,B
0,fashion,109,emotion,lasso,4.2086186699222905,0.2903364635025073,0.4905260194139079,0.5890417163734595,10,0,B
0,fashion,110,population,lasso,,0.2792929848439288,0.35576561654859573,0.39240457996816147,10,0,B
0,fashion,110,identity,lasso,8.979379829740326,0.245418056050959,0.3448727928958437,0.37766076289416933,10,0,B
0,fashion,110,pca,lasso,6.144803317229176,0.19818782249568945,0.3674079464159865,0.3771043877788421,10,0,B
0,fashion,110,emotion,lasso,4.117270350182354,0.19523816574878058,0.33028240525087327,0.3937226612083615,10,0,B
0,fashion,116,population,lasso,,0.18504161756017745,0.25824586907985814,0.33243124401410473,10,0,B
0,fashion,116,identity,lasso,8.98005510251343,0.26575396778859384,0.27483231065174474,0.3786601294816075,10,0,B
