n_train,mediator,head,fold,domain,user_id,ccc,srocc,plcc,eff_dof
10,emotion,elastic,0,art,3,-0.020133485817579587,-0.10601392454877025,-0.08438476943121664,3.0
10,emotion,elastic,0,art,14,0.39454504294959086,0.44793276871659704,0.4566710382406215,4.0
10,emotion,elastic,0,art,15,0.002549059934870484,0.01752425701762144,0.04590041416088396,1.0
10,emotion,elastic,0,art,19,0.5148625726947865,0.6223224353011408,0.6146061369502542,3.0
10,emotion,elastic,0,art,21,0.43568601032040893,0.47010764493265006,0.4902570205600822,4.0
10,emotion,elastic,0,art,22,0.07490049738431921,0.12464070482983593,0.09122799124117006,4.0
10,emotion,elastic,0,art,30,0.0427720912828872,0.07843234955711667,0.08559946315254797,4.0
10,emotion,elastic,0,art,50,0.014332358257834363,0.041132909240472026,0.03168699997882728,4.0
10,emotion,elastic,0,art,57,-0.06782112640637417,-0.06617517708305,-0.08544530348451965,3.0
10,emotion,elastic,0,art,62,0.14369094903802107,0.19095088240375482,0.1711996920081317,4.0
10,emotion,elastic,0,art,63,0.0825647835368163,0.16317289679694588,0.13912311410896244,5.0
10,emotion,elastic,0,art,79,0.14716062293264046,0.206931837707589,0.20584007520424644,3.0
10,emotion,elastic,0,art,80,0.4378591922436827,0.520947943436053,0.5316175312026787,5.0
10,emotion,elastic,0,art,85,0.1358196180182383,0.1802529039527833,0.19935902756466478,4.0
10,emotion,elastic,0,art,86,0.3283083787646559,0.41745157284831635,0.5160129895347179,2.0
10,emotion,elastic,0,art,98,0.1275891695105873,0.15841815756402172,0.19498659576879618,3.0
10,emotion,elastic,0,art,99,0.5782788020679057,0.7202599169823041,0.7186456331658442,6.0
10,emotion,elastic,0,art,105,-0.0642969888380896,-0.1761469372576145,-0.18091241973925154,2.0
10,emotion,elastic,0,art,109,0.0626970136380447,0.5121505313724919,0.5006760219888676,2.0
10,emotion,elastic,0,art,110,0.19031519773640904,0.26999321605052207,0.2701328056487461,3.0
10,emotion,elastic,0,art,116,0.5219316740690243,0.5682725344327493,0.546581487945357,2.0
10,emotion,elastic,0,art,117,0.5243921789376581,0.6927098771238889,0.7015642636189658,6.0
10,emotion,elastic,0,art,126,0.2791661905612592,0.24687181552691115,0.2810135577813211,4.0
10,emotion,elastic,0,art,127,0.5389268108744426,0.6181448685539203,0.6092507670354667,5.0
10,emotion,elastic,0,art,136,0.29117397012300983,0.4078437763627173,0.41938968528965026,4.0
10,emotion,elastic,0,art,144,0.5808437738934187,0.6093931273258086,0.648368883327595,3.0
10,emotion,elastic,0,fashion,3,0.29894874480736355,0.36382840116930626,0.37265147251585506,5.0
10,emotion,elastic,0,fashion,14,0.13722142489024744,0.16676992549362657,0.20601114168247117,5.0
10,emotion,elastic,0,fashion,15,-0.0006104164742165451,-0.010348144535565009,-0.013115576412068276,1.0
10,emotion,elastic,0,fashion,19,-0.14737667021806802,-0.3461579624076929,-0.379150398811639,3.0
10,emotion,elastic,0,fashion,21,0.19666432657791583,0.2896412472640123,0.27698014758033607,1.0
10,emotion,elastic,0,fashion,22,0.12703526007032256,0.35047731323904063,0.35533833287679245,3.0
10,emotion,elastic,0,fashion,30,0.5349284593093111,0.6220328052874022,0.6075109343855523,3.0
10,emotion,elastic,0,fashion,50,0.0,,,0.0
10,emotion,elastic,0,fashion,57,0.16845518184914446,0.1870657120061328,0.17383915808669087,6.0
10,emotion,elastic,0,fashion,62,0.01926098602803497,0.10654544206753533,0.029997268498767205,4.0
10,emotion,elastic,0,fashion,63,0.24251751201533728,0.24257662615297582,0.27247052186963133,2.0
10,emotion,elastic,0,fashion,79,0.4890864909608408,0.40368607459873357,0.4964691955775217,5.0
10,emotion,elastic,0,fashion,80,0.34765548270519053,0.3521010264224706,0.3642776954686268,3.0
10,emotion,elastic,0,fashion,85,0.27135042026881984,0.48459043373254085,0.4682276073412561,2.0
10,emotion,elastic,0,fashion,86,-0.009496870220062627,-0.09291213835012928,-0.10141110035106793,2.0
10,emotion,elastic,0,fashion,98,0.31004767915394876,0.3843891049191516,0.31596636220052765,6.0
10,emotion,elastic,0,fashion,99,0.4343228328974059,0.4162277320537641,0.45172954419370265,3.0
10,emotion,elastic,0,fashion,105,0.08925476282170336,0.09158141451870602,0.11406705236923044,3.0
10,emotion,elastic,0,fashion,109,0.07521282224914702,0.4547500514690506,0.4815969035692403,1.0
10,emotion,elastic,0,fashion,110,0.05087643304606694,0.3482705544022068,0.3678552892726302,1.0
10,emotion,elastic,0,fashion,116,-0.211244888763654,-0.1756152328853687,-0.2704856546197347,2.0
10,emotion,elastic,0,fashion,117,0.4685155441808741,0.4710425501650686,0.516469956574326,4.0
10,emotion,elastic,0,fashion,126,0.24857555429787512,0.28038319349336643,0.3699319878457973,4.0
10,emotion,elastic,0,fashion,127,0.3503458050775885,0.4357771439256456,0.41762742448293094,5.0
10,emotion,elastic,0,fashion,136,0.39719602629379125,0.4065376126848411,0.4269514168042198,3.0
10,emotion,elastic,0,fashion,144,0.42578947983877846,0.5693802667070127,0.5275816683457061,5.0
10,emotion,elastic,0,landscape,3,-0.10639358753177455,-0.1732315021237916,-0.11393146812859076,3.0
10,emotion,elastic,0,landscape,14,0.19615554150619036,0.2642533863912594,0.30801941988830417,3.0
10,emotion,elastic,0,landscape,15,-0.04978142787773986,0.002400480144048017,-0.056362748258620664,4.0
10,emotion,elastic,0,landscape,19,0.342067703338068,0.43084998130500696,0.4600903120833299,4.0
10,emotion,elastic,0,landscape,21,0.22310664267910488,0.3389712934329398,0.2878989198991929,5.0
10,emotion,elastic,0,landscape,22,0.3408034764355501,0.3407146201633263,0.3629023978990533,4.0
10,emotion,elastic,0,landscape,30,0.12603278973605198,0.09950406295918181,0.12849234637174597,4.0
10,emotion,elastic,0,landscape,50,-0.09368345572443305,-0.11596555330360461,-0.11497115247650012,4.0
10,emotion,elastic,0,landscape,57,0.18378785356608865,0.4029175059772678,0.4167861567393719,2.0
10,emotion,elastic,0,landscape,62,0.36919654360902615,0.3390917841646653,0.4080574762750636,5.0
10,emotion,elastic,0,landscape,63,0.14031528132911092,0.14768987494263716,0.1495687471848755,4.0
10,emotion,elastic,0,landscape,79,0.3171671858118873,0.39634909002973273,0.384098368966257,4.0
10,emotion,elastic,0,landscape,80,0.6308831671730956,0.6664164849232164,0.6502580786925027,4.0
10,emotion,elastic,0,landscape,85,0.17180472401168081,0.1886632931262142,0.18977182749888433,4.0
10,emotion,elastic,0,landscape,86,0.38606784668413874,0.464962230906992,0.4752947504728888,3.0
10,emotion,elastic,0,landscape,98,0.13783740646558787,0.14596547280346328,0.16774238363209645,4.0
10,emotion,elastic,0,landscape,99,0.4727178809329181,0.555729417292115,0.5298007353972481,5.0
10,emotion,elastic,0,landscape,105,0.09778074858556676,0.1319207251949016,0.16424479791409197,3.0
10,emotion,elastic,0,landscape,109,0.22545602622415656,0.26846952445419975,0.2941910128397271,7.0
10,emotion,elastic,0,landscape,110,0.5907803436890758,0.7274087464429425,0.7065967314591473,5.0
10,emotion,elastic,0,landscape,116,0.3885296897069353,0.38865532823855287,0.46951560916565893,3.0
10,emotion,elastic,0,landscape,117,0.21178400051005863,0.23312569305511097,0.2500786522356185,5.0
10,emotion,elastic,0,landscape,126,0.2637672238408345,0.24899713683273272,0.2923949906435931,5.0
10,emotion,elastic,0,landscape,127,0.1573424876202083,0.27951662300496327,0.21848413910649037,3.0
10,emotion,elastic,0,landscape,136,0.36816632912653363,0.44692418304258746,0.44947861770120506,5.0
10,emotion,elastic,0,landscape,144,0.44802760537898856,0.5050661197426999,0.5111180116870614,4.0
10,emotion,elastic,1,art,5,0.0,,,0.0
10,emotion,elastic,1,art,6,0.14566301517040556,0.32430370778057116,0.28180712990388573,4.0
10,emotion,elastic,1,art,16,0.4350978533084141,0.4853948894760298,0.48803442938368763,2.0
10,emotion,elastic,1,art,17,0.08657624690918683,0.1503415126377767,0.1473568124537192,2.0
10,emotion,elastic,1,art,23,0.011851162077667714,0.08312688374705494,0.04602154972837853,2.0
10,emotion,elastic,1,art,35,0.11857976778405527,0.20791198980997488,0.13462056234770972,1.0
10,emotion,elastic,1,art,39,0.5021297736040725,0.5941978605701181,0.6483418039928848,4.0
10,emotion,elastic,1,art,44,0.3600757629655759,0.6034535813898273,0.5993581633233116,3.0
10,emotion,elastic,1,art,51,0.26461851773058487,0.36939692113556866,0.4076609103631495,3.0
10,emotion,elastic,1,art,64,0.011691890592884167,-0.03455857274767176,0.012363371304277575,1.0
10,emotion,elastic,1,art,69,0.05912852223310269,0.27105781547861235,0.25219517210098297,2.0
10,emotion,elastic,1,art,81,0.0,,,0.0
10,emotion,elastic,1,art,92,0.15974044053421224,0.23506110157472973,0.2712791460271891,4.0
10,emotion,elastic,1,art,100,0.5150921267330284,0.6097131735553493,0.5866321870233887,4.0
10,emotion,elastic,1,art,101,0.4505015756223886,0.5906010692198631,0.5783138348346403,4.0
10,emotion,elastic,1,art,106,0.20420579121790153,0.3663480103740311,0.39881804524383296,2.0
10,emotion,elastic,1,art,111,0.40290564743001483,0.4958317087026362,0.5036103878110904,3.0
10,emotion,elastic,1,art,118,0.24629560412499754,0.34878690382703464,0.34543415845444575,3.0
10,emotion,elastic,1,art,119,0.2970070336480319,0.560911812570649,0.549818760421458,4.0
