n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.7188224352579096,0.4298552917226113,0.18895704936690833,0.00960522662757364,False,False,0.43649900089534327,0.1847475217059588,0.009391244310883522,False,False
10,emotion_hist,ridge,387,0.8183150312892767,0.4368804658310874,0.17929488044948982,0.009114070978834156,True,True,0.44371753992859203,0.17461203540566567,0.008876028587410054,True,True
10,emotion_sd,ridge,387,0.9245115300080035,0.42572998674845197,0.18784490769653858,0.009548693289327408,False,False,0.4328418490781093,0.18214678131750076,0.009259041247201484,False,False
10,population,ridge,387,,0.43611488669566123,0.17456962446206453,0.008873872717988177,False,False,0.4436984009765592,0.16993945235343125,0.008638507842334685,False,False
25,emotion,ridge,387,1.283526905702033,0.4379792279588271,0.1815375263541371,0.009228071076907818,True,True,0.4438294725118808,0.17777685522119546,0.009036905419819585,True,False
25,emotion_hist,ridge,387,2.280121564263127,0.4413425832000739,0.178209818289718,0.009058914169471752,True,True,0.44930290991021393,0.17451045104481167,0.008870864764143926,True,True
25,emotion_sd,ridge,387,1.538424551360448,0.4380294889974194,0.1812858951553102,0.00921527994421709,True,True,0.4448812312930076,0.17662144497213922,0.008978172616110013,True,True
25,population,ridge,387,,0.43611488669566123,0.17456962446206453,0.008873872717988177,False,False,0.4436984009765592,0.16993945235343125,0.008638507842334685,False,False
50,emotion,ridge,387,2.120038997932593,0.4447020884676045,0.1754318899188763,0.008917704134458505,True,True,0.4513895755062345,0.1716156288146014,0.008723712680319223,True,True
50,emotion_hist,ridge,387,3.6601465608552965,0.45134075342469904,0.17297007348325327,0.008792562972173899,True,True,0.4603708707037494,0.16836965771600232,0.008558710696360118,True,True
50,emotion_sd,ridge,387,3.0622954959776236,0.4441230527603363,0.1767172328567378,0.008983041787928836,True,True,0.45097757493232227,0.17316798423968846,0.008802623341310503,True,True
50,population,ridge,387,,0.43611488669566123,0.17456962446206453,0.008873872717988177,False,False,0.4436984009765592,0.16993945235343125,0.008638507842334685,False,False
100,emotion,ridge,387,3.908969008325592,0.44817094690348996,0.1814747855319652,0.009224881781680247,True,True,0.456695743299583,0.17720509049107128,0.009007840985182737,True,True
100,emotion_hist,ridge,387,6.455683197478544,0.4605742738949687,0.1750199021115281,0.008896761617253484,True,True,0.4698848668731589,0.16991030839569077,0.008637026371704933,True,True
100,emotion_sd,ridge,387,5.51052683769455,0.4483300623007731,0.17734959451789994,0.009015186537682294,True,True,0.45719050261001526,0.17349954134670034,0.00881947733624481,True,True
100,population,ridge,387,,0.43611488669566123,0.17456962446206453,0.008873872717988177,False,False,0.4436984009765592,0.16993945235343125,0.008638507842334685,False,False
