n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,lasso,387,2.7881136950904395,0.3001940607881631,0.2382165721102272,0.012252538364364764,False,True,0.3075079553608796,0.236014132839627,0.012139257111850871,False,True
10,identity,lasso,387,20.149870801033593,0.17092079095820492,0.20150249379672833,0.010269518003118016,False,True,0.1755327236827723,0.20413568351679248,0.010403717777653329,False,True
10,pca,lasso,387,4.224806201550388,0.1882597926443114,0.2043499574596943,0.010441795049127647,False,True,0.19469975718190413,0.2115387635921219,0.010809125883035583,False,True
10,population,lasso,387,,0.4317689109159275,0.17594776420261043,0.008943927498038776,False,False,0.43862466799757227,0.17242043596417295,0.00876462332688693,False,False
25,emotion,lasso,387,3.405684754521964,0.3749218137820815,0.2004342620090347,0.010228368101946803,False,True,0.38342473549218,0.19735066602463563,0.010071009003307785,False,True
25,identity,lasso,387,23.54263565891473,0.2398835692028074,0.19497330218597234,0.009911049945462562,False,True,0.244111277577618,0.19476430018132634,0.009900425776494175,False,True
25,pca,lasso,387,5.263565891472868,0.25367719898613855,0.20790957339760446,0.010582318657155925,False,True,0.2638517850977584,0.20449751297145777,0.01040864935411761,False,True
25,population,lasso,387,,0.4317689109159275,0.17594776420261043,0.008943927498038776,False,False,0.43862466799757227,0.17242043596417295,0.00876462332688693,False,False
50,emotion,lasso,387,4.369509043927649,0.4086024438279783,0.18511694114177277,0.009422204220745077,False,True,0.41927655382294765,0.1790793403792298,0.009114898433186506,False,True
50,identity,lasso,387,21.705426356589147,0.3193905386380874,0.19010992809849953,0.009663830747018482,False,True,0.3268241942002227,0.18665777913528434,0.009488348153196649,False,True
50,pca,lasso,387,5.767441860465116,0.3234483299313399,0.1923504967900274,0.009777725254415146,False,True,0.3325529810329597,0.1876659378167642,0.009539595739061343,False,True
50,population,lasso,387,,0.4317689109159275,0.17594776420261043,0.008943927498038776,False,False,0.43862466799757227,0.17242043596417295,0.00876462332688693,False,False
100,emotion,lasso,386,4.3782383419689115,0.43864470905090897,0.17363365550603513,0.008895521643689907,True,False,0.44851779816491133,0.1687007299233791,0.008642800210397827,True,False
100,identity,lasso,386,33.58031088082902,0.3836717863089292,0.18308397286810854,0.009330823256947396,False,True,0.38980393137290403,0.18214269199551997,0.009282851141640524,False,True
100,pca,lasso,386,5.984455958549223,0.3644730487978824,0.19101971186641517,0.009735265966194296,False,True,0.3735184430652661,0.18997923857281102,0.009682238537009176,False,True
100,population,lasso,386,,0.4321592423803223,0.17600826449604978,0.008958584786416781,False,False,0.4389835705811234,0.17249940595766738,0.008779988589189084,False,False
