n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.39331857532849107,0.3477180217351909,0.252498812743532,0.012835235984689563,False,True,0.35402042076414436,0.250551605043382,0.012736253854551724,False,True
10,identity,ridge,387,3.4331698077788384,0.24034082860486441,0.2193633987061253,0.01115086822866175,False,True,0.24896954462129295,0.22285345086911879,0.011328277550409323,False,True
10,pca,ridge,387,2.0017065805256933,0.19632009206252837,0.20571174329465022,0.010456915584353979,False,True,0.20266690254922853,0.20655501556534042,0.01049978152291444,False,True
10,population,ridge,387,,0.43607996725154774,0.1745237305425091,0.008871539798948457,False,False,0.4437252769785327,0.16995920192630748,0.00863951176954412,False,False
10,random,ridge,387,2.0867754224342954,0.1237224490191199,0.1475097652626753,0.007498342770885366,False,True,0.12759090018075758,0.1495950250084483,0.007604342480886202,False,True
10,shuffled,ridge,387,3.0785869002908535,0.139666670532127,0.1543744260805188,0.007847293091065159,False,True,0.1424588500193073,0.15930690735079464,0.008098025205034965,False,True
25,emotion,ridge,387,1.3416027008659503,0.39515356810776303,0.20775167596868443,0.010560611189808973,False,True,0.4022462578431291,0.20306662703295178,0.010322456768263133,False,True
25,identity,ridge,387,4.926705812863813,0.3101983598022212,0.19720718233508897,0.010024604455140786,False,True,0.3208737424064697,0.19764533176295657,0.01004687684225474,False,True
25,pca,ridge,387,2.1813352168644364,0.26645679231807967,0.19841865334498554,0.010086186987476995,False,True,0.2756857262566448,0.1974164831597158,0.010035243813982462,False,True
25,population,ridge,387,,0.43607996725154774,0.1745237305425091,0.008871539798948457,False,False,0.4437252769785327,0.16995920192630748,0.00863951176954412,False,False
25,random,ridge,387,1.9495020254724247,0.17841002734861627,0.15345396747961404,0.007800503550835718,False,True,0.18588720953474513,0.15706871162511468,0.007984251322271384,False,True
25,shuffled,ridge,387,3.7179479133028512,0.20354257913212107,0.15789288816949265,0.008026146570511154,False,True,0.2115187026583031,0.1617877771015658,0.008224134901759633,False,True
50,emotion,ridge,387,2.1832647576339537,0.4181557772990115,0.17880266983285129,0.009089050507054188,False,True,0.4266301696775128,0.17473292944521637,0.008882173976807793,False,True
50,identity,ridge,387,11.512429887135827,0.36941886866897194,0.18148878191113282,0.009225593257617879,False,True,0.3783841015765165,0.1801519173460004,0.00915763661264754,False,True
50,pca,ridge,387,2.4747586942151036,0.3267438567795372,0.19156922453613348,0.009738010953828697,False,True,0.33550537042359796,0.188347487234378,0.009574240842993718,False,True
50,population,ridge,387,,0.43607996725154774,0.1745237305425091,0.008871539798948457,False,False,0.4437252769785327,0.16995920192630748,0.00863951176954412,False,False
50,random,ridge,387,2.967186063190966,0.21820536685896766,0.14522116990266146,0.00738200693072805,False,True,0.2279011071776982,0.14581989578218305,0.0074124418776107745,False,True
50,shuffled,ridge,387,4.707177155685015,0.2533061295016969,0.15481276505244773,0.007869575113245235,False,True,0.26211673918786466,0.15633258327168087,0.0079468318151114,False,True
100,emotion,ridge,387,4.71018942545516,0.43566581804481663,0.1756519564975005,0.008928890747331233,False,False,0.4459184915044212,0.17030461362292357,0.008657070032847491,True,False
100,identity,ridge,387,22.638732615655115,0.4151872320808068,0.18414840437205154,0.009360789465256076,False,True,0.4258193030450243,0.1792936855489826,0.009114010238627809,False,True
100,pca,ridge,387,3.6039332344284465,0.36243791158905764,0.192341812189237,0.009777283791346998,False,True,0.37342923160054337,0.18893603239088633,0.009604158274641618,False,True
100,population,ridge,387,,0.43607996725154774,0.1745237305425091,0.008871539798948457,False,False,0.4437252769785327,0.16995920192630748,0.00863951176954412,False,False
100,random,ridge,387,3.5666416148936664,0.2556686654172952,0.14574262735240714,0.007408514102586552,False,True,0.26489513247662155,0.1469462814825717,0.007469699280594894,False,True
100,shuffled,ridge,387,5.4219148790375264,0.2918880535256373,0.15865365311449697,0.008064818426001928,False,True,0.3011448701656136,0.15866183330393585,0.008065234248400086,False,True
