n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.8634808114059882,0.4332722010251546,0.18829204450911396,0.009571422530881016,False,False,0.44304525368730996,0.18416732387147317,0.009361751197460478,False,False
10,identity,ridge,387,2.0987324588273624,0.43737756220737195,0.1770545722920687,0.009000189715130426,False,False,0.44759688929290853,0.17216406623163122,0.008751591320990541,False,False
10,pca,ridge,387,0.6296854735215024,0.43689489733596204,0.17834641232304324,0.00906585763440444,False,False,0.4476539147809542,0.17221969241208526,0.008754418958654643,False,False
10,population,ridge,387,,0.4391185776044744,0.17688802399075385,0.008991723589183147,False,False,0.448530517821121,0.17198924753745307,0.008742704787347347,False,False
25,emotion,ridge,387,1.3380458381064237,0.44157998078013316,0.18338397007725124,0.009321931086232657,True,False,0.4508439365168274,0.17777580075290592,0.009036851818184045,True,True
25,identity,ridge,387,3.4908116597770564,0.450304065126031,0.17289251977341705,0.008788620695549228,True,True,0.46032285993766575,0.16966575467631687,0.008624595007513586,True,True
25,pca,ridge,387,1.4515405786245708,0.4437600106909479,0.17620425316937458,0.008956965564951316,True,True,0.4531747068389886,0.17171823089021707,0.008728928236934072,True,True
25,population,ridge,387,,0.4391185776044744,0.17688802399075385,0.008991723589183147,False,False,0.448530517821121,0.17198924753745307,0.008742704787347347,False,False
50,emotion,ridge,387,2.4345910440104537,0.4504678346160149,0.17728509325484937,0.009011907754215676,True,True,0.4593618901743849,0.17383220889527373,0.008836387778095976,True,True
50,identity,ridge,387,8.44511330412314,0.4636933136819693,0.1693045884895735,0.008606235898469972,True,True,0.4734245071390564,0.16488244599939753,0.008381445762617006,True,True
50,pca,ridge,387,3.1973121945722127,0.4460379116317897,0.1743003528380094,0.008860184872088329,True,True,0.45716153268127036,0.17081079425873344,0.008682800640611176,True,True
50,population,ridge,387,,0.4391185776044744,0.17688802399075385,0.008991723589183147,False,False,0.448530517821121,0.17198924753745307,0.008742704787347347,False,False
100,emotion,ridge,387,3.5228973406848585,0.45923609954002903,0.17965833284934524,0.00913254630262146,True,True,0.46883175491032414,0.17534665892118295,0.008913371599359754,True,True
100,identity,ridge,387,13.317005117044932,0.4775794858673405,0.1692999156349095,0.008605998363918095,True,True,0.4880541763164877,0.16492377518099338,0.0083835466429858,True,True
100,pca,ridge,387,4.175719510964003,0.45809505601534145,0.1748918707557282,0.008890253417681074,True,True,0.467295166302596,0.17131723571107305,0.008708544506424162,True,True
100,population,ridge,387,,0.4391185776044744,0.17688802399075385,0.008991723589183147,False,False,0.448530517821121,0.17198924753745307,0.008742704787347347,False,False
