n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.35841286631982,0.35495934022960773,0.2427714047874398,0.012340764049240876,False,True,0.36098875203098024,0.24242904045368685,0.012323360692097475,False,True
10,identity,ridge,387,4.32297224797476,0.24597219726905692,0.212832060827037,0.010818861665688366,False,True,0.25306439811126613,0.21452047306981364,0.010904688483406868,False,True
10,pca,ridge,387,3.035941846496864,0.1940353533885893,0.21068121525475061,0.010709528040761737,False,True,0.18506698063240365,0.21277378249899143,0.010815899211785591,False,True
10,population,ridge,387,,0.43922508975586266,0.17679078646361773,0.008986780727892834,False,False,0.44860315359050995,0.1719912979011261,0.008742809013190281,False,False
25,emotion,ridge,387,1.1342980298750205,0.40329363258751383,0.20688466697755906,0.010516538645938262,False,True,0.4109550386029375,0.20365157944922427,0.010352191570661185,False,True
25,identity,ridge,387,5.466327750396033,0.3148421442506287,0.20639066664696984,0.010491427197885365,False,True,0.3253453266442399,0.2043109843152097,0.010385711003772231,False,True
25,pca,ridge,387,2.8735122400604194,0.27487702387403323,0.20292337951015574,0.010315175087453105,False,True,0.27533015333900507,0.20192199352337606,0.010264271777008104,False,True
25,population,ridge,387,,0.43922508975586266,0.17679078646361773,0.008986780727892834,False,False,0.44860315359050995,0.1719912979011261,0.008742809013190281,False,False
50,emotion,ridge,387,2.452390750942635,0.4283328056674063,0.1790554237518579,0.009101898710819012,False,True,0.4349545959812219,0.1776215536295805,0.009029010996255698,False,True
50,identity,ridge,387,10.812071741547784,0.380564837297316,0.1859347600482289,0.009451595027496935,False,True,0.39275080135970525,0.18226042290973893,0.009264817973983697,False,True
50,pca,ridge,387,3.333652219337415,0.33340772023170967,0.191660857382332,0.009742668913175623,False,True,0.34091724353560054,0.18894691031415803,0.009604711230557325,False,True
50,population,ridge,387,,0.43922508975586266,0.17679078646361773,0.008986780727892834,False,False,0.44860315359050995,0.1719912979011261,0.008742809013190281,False,False
100,emotion,ridge,387,3.955025153362644,0.4463363227657869,0.1711318408469697,0.008699120355849906,True,False,0.4547185514807297,0.16857702537072305,0.008569251786652831,True,False
100,identity,ridge,387,21.09865875407065,0.4261560246073446,0.18374864678604516,0.009340468645140881,False,True,0.43721275526510317,0.18046201824934402,0.009173399927453793,False,True
100,pca,ridge,387,4.5720955605611735,0.37516865254406245,0.1913682922671029,0.00972779699257508,False,True,0.3830736678449396,0.18832583185730772,0.009573140038312642,False,True
100,population,ridge,387,,0.43922508975586266,0.17679078646361773,0.008986780727892834,False,False,0.44860315359050995,0.1719912979011261,0.008742809013190281,False,False
