n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.7481044394810693,0.3254945279383116,0.2504420533398336,0.012730685028495515,False,True,0.33222736572354256,0.2522251660806831,0.012821325743069318,False,True
10,identity,ridge,387,2.130946647551877,0.22312568640155397,0.2151549020205036,0.010936938319392813,False,True,0.22797107836787722,0.21319733809674438,0.01083742975282349,False,True
10,pca,ridge,387,1.3772801366062084,0.19496214834513614,0.20900409480675258,0.010624275217229978,False,True,0.19969561223563576,0.21123067984934957,0.010737458895803312,False,True
10,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.42659285695774557,0.17378926188366134,0.008834204658805661,False,False
25,emotion,ridge,387,1.0773008469358352,0.37953720213424547,0.20656798490111183,0.010500440791302208,False,True,0.3901484829349997,0.20456532557374094,0.010398639896539769,False,True
25,identity,ridge,387,3.191088737816813,0.2928917350590625,0.21330529218360378,0.010842917367459364,False,True,0.303394903786204,0.21061411129634672,0.010706116954854987,False,True
25,pca,ridge,387,3.5845425382897176,0.2717404239081973,0.2026199899561433,0.010299752929706191,False,True,0.28022545033297735,0.20292670804791332,0.010315344286536215,False,True
25,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.42659285695774557,0.17378926188366134,0.008834204658805661,False,False
50,emotion,ridge,387,2.779668944043082,0.4038159675396949,0.1814384259847319,0.009223033522023241,False,True,0.41232038609282606,0.17908545393869388,0.009103425231005447,False,True
50,identity,ridge,387,7.295027151339031,0.3473327440601711,0.20120791885489472,0.010227973321656725,False,True,0.35565018399164566,0.19788307572849223,0.010058962047204537,False,True
50,pca,ridge,387,4.150095585712865,0.3351051084401521,0.1942226831300734,0.009872893834499564,False,True,0.34612720130889446,0.19269577075048028,0.00979527651619586,False,True
50,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.42659285695774557,0.17378926188366134,0.008834204658805661,False,False
