n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.6114647735718076,0.33909742182726454,0.25413873601681936,0.012918597969566726,False,True,0.3440012609538111,0.2560398492935212,0.013015236988479182,False,True
10,identity,ridge,387,2.096037816860112,0.22908264838924733,0.2154408867247694,0.010951475738905321,False,True,0.23391900618065498,0.21339942866217193,0.01084770259359196,False,True
10,pca,ridge,387,0.6021103021900377,0.28482269844525576,0.22893024867979445,0.011637178543185437,False,True,0.2909500201091179,0.2302106532936269,0.011702265167537676,False,True
10,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.42659285695774557,0.17378926188366134,0.008834204658805661,False,False
25,emotion,ridge,387,1.0808847571868385,0.3900246907951789,0.2063552120791717,0.010489624940918374,False,True,0.39899551605572897,0.20553080910045654,0.010447718182374372,False,True
25,identity,ridge,387,2.8146838006641235,0.29891368862195616,0.2129915572588613,0.010826969324963819,False,True,0.30876928236715045,0.21080635883643786,0.010715889446526272,False,True
25,pca,ridge,387,0.6837813985685535,0.3672793319860404,0.21197114420162774,0.010775098814171538,False,True,0.37569738479882137,0.20760812381011529,0.010553314023492322,False,True
25,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.42659285695774557,0.17378926188366134,0.008834204658805661,False,False
50,emotion,ridge,387,2.952534445825651,0.41507938620391965,0.17929813359800184,0.009114236345666544,False,False,0.42438972862483293,0.1760288608189908,0.008948049870724383,False,False
50,identity,ridge,387,6.734052833540211,0.3542667166976481,0.20043645058199586,0.010188757385432045,False,True,0.36284504032772436,0.1975870016815617,0.010043911757581372,False,True
50,pca,ridge,387,2.446255427705984,0.4064763912837777,0.186517797714576,0.009481232497686266,False,True,0.41464101033884465,0.18521851145103954,0.009415186065138898,False,True
50,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.42659285695774557,0.17378926188366134,0.008834204658805661,False,False
