n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,elastic,387,3.65374677002584,0.2935500799296976,0.24183446293920446,0.012357163804769044,False,True,0.30235470622247046,0.24395506202947007,0.012465521356476817,False,True
10,identity,elastic,387,28.705426356589147,0.13604837022858465,0.19625610162957624,0.00997625830585358,False,True,0.13813443811448498,0.19336797569102035,0.009829446613663485,False,True
10,pca,elastic,387,4.635658914728682,0.1810361864819639,0.20792675189376356,0.010583193019588762,False,True,0.18636618224635054,0.21419634863042608,0.01090230709132199,False,True
10,population,elastic,387,,0.4116820812298857,0.17792616519698054,0.009044495272434125,False,False,0.4221076956584502,0.17260342782160132,0.00877392532576704,False,False
25,emotion,elastic,387,3.7751937984496124,0.3632386698331298,0.20592191070718394,0.010549699067656076,False,True,0.3741914613002104,0.20384479956052554,0.010443285440023804,False,True
25,identity,elastic,387,33.93023255813954,0.21932640615592097,0.19380466692086915,0.009851644876406395,False,True,0.22784848814584344,0.19409785424518822,0.009866548425672495,False,True
25,pca,elastic,387,5.59173126614987,0.26955562888470413,0.20856271259425022,0.010615562566964571,False,True,0.27880108906650747,0.20741740214731777,0.010557267800096715,False,True
25,population,elastic,387,,0.4116820812298857,0.17792616519698054,0.009044495272434125,False,False,0.4221076956584502,0.17260342782160132,0.00877392532576704,False,False
50,emotion,elastic,387,4.2015503875969,0.4052919714306499,0.17929699304238486,0.009209867903051863,False,True,0.4140783312569152,0.1777628355663729,0.009131063526822254,False,True
50,identity,elastic,387,42.775193798449614,0.2798350631309152,0.1972052520744851,0.010050510285651033,False,True,0.2877785129303241,0.19678186142857781,0.010028932300294271,False,True
50,pca,elastic,387,5.7881136950904395,0.33739608983940933,0.1952590703895011,0.009938425007540068,False,True,0.348856655016053,0.19420609191344645,0.009884829814251749,False,True
50,population,elastic,387,,0.4116820812298857,0.17792616519698054,0.009044495272434125,False,False,0.4221076956584502,0.17260342782160132,0.00877392532576704,False,False
