n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,lasso,387,2.891472868217054,0.28440835802535563,0.23997278948653153,0.012246060133215123,False,True,0.29386297946299555,0.24383078266892452,0.01244293752338177,False,True
10,identity,lasso,387,21.656330749354005,0.1258920371397811,0.1945079463363868,0.009887394578209993,False,True,0.1276013176386557,0.19226806245024097,0.009773534881427234,False,True
10,pca,lasso,387,4.568475452196383,0.1720342663743152,0.2067721151914005,0.010524423558818014,False,True,0.17770606347120083,0.21345434516583814,0.010864540109366006,False,True
10,population,lasso,387,,0.4117402268460719,0.17784669310945328,0.00904045547919104,False,False,0.4220288214684999,0.17260170482439535,0.008773837740896842,False,False
25,emotion,lasso,387,3.152454780361757,0.35869515340480485,0.20671499992275574,0.010576459486510759,False,True,0.36815837500173587,0.2041904088621546,0.010447290170871192,False,True
25,identity,lasso,387,29.348837209302324,0.20223615247365134,0.19350453584459643,0.009836388356391737,False,True,0.2074997878550014,0.19347982239063782,0.00983513210092618,False,True
25,pca,lasso,387,5.589147286821706,0.26867291373080743,0.2093888005800389,0.010657609338364299,False,True,0.2781143463279938,0.20809219594400313,0.010591613900027094,False,True
25,population,lasso,387,,0.4117402268460719,0.17784669310945328,0.00904045547919104,False,False,0.4220288214684999,0.17260170482439535,0.008773837740896842,False,False
50,emotion,lasso,387,3.6666666666666665,0.40393074982573396,0.18032423909866888,0.009214138189529953,False,True,0.41187417815476074,0.17866903874656678,0.009129561402449863,False,True
50,identity,lasso,387,32.8656330749354,0.26579918255048607,0.19002409550925714,0.009684524658176801,False,True,0.27357209389430054,0.190670739297315,0.00971748067722123,False,True
50,pca,lasso,387,5.739018087855297,0.3372042117564448,0.19641762780816543,0.009997394027516227,False,True,0.34900196008605505,0.1950429429637017,0.009927424411208767,False,True
50,population,lasso,387,,0.4117402268460719,0.17784669310945328,0.00904045547919104,False,False,0.4220288214684999,0.17260170482439535,0.008773837740896842,False,False
