n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.5044009975388599,0.41787860828469275,0.1799066925222471,0.009145171134303395,False,False,0.42678296571142615,0.1732143792731081,0.008804981733399511,True,False
10,emotion_hist,ridge,387,0.7408093403324638,0.4166206868237128,0.1819271958905868,0.009247879092644734,False,False,0.42574985679685434,0.17588901462410764,0.008940941089129004,False,False
10,emotion_sd,ridge,387,0.5375520436369571,0.41941754421925437,0.1800079123547658,0.009150316427552863,True,False,0.4286924389615544,0.1737303583520483,0.008831210424019484,True,True
10,population,ridge,387,,0.4179076642219481,0.17999278231278035,0.00914954732429558,False,False,0.42640685033629,0.1739898574531446,0.008844401504659411,False,False
25,emotion,ridge,387,1.294591996022344,0.4138592659680158,0.1914176041878438,0.009730303658379525,False,False,0.42146889505101376,0.18597622276008083,0.009453702695590113,False,False
25,emotion_hist,ridge,387,1.8583116683454408,0.4204809673612642,0.18233115862818053,0.009268413672628296,True,True,0.4296231095737553,0.17711599642495157,0.009003312079279945,True,True
25,emotion_sd,ridge,387,1.454878741285893,0.42063898160724905,0.18104837644251975,0.009203206189507828,True,True,0.4296740564242917,0.1749250430386682,0.008891939659588748,True,True
25,population,ridge,387,,0.4179076642219481,0.17999278231278035,0.00914954732429558,False,False,0.42640685033629,0.1739898574531446,0.008844401504659411,False,False
50,emotion,ridge,387,2.379212475082085,0.42449840376801073,0.18039598403562482,0.009170043219725386,True,True,0.4313046398852066,0.1748016299268592,0.00888566621855169,True,True
50,emotion_hist,ridge,387,3.2382925502930218,0.433054998722083,0.17236515210233694,0.00876181309025611,True,True,0.44264128309177553,0.16884550490580247,0.008582899368407221,True,True
50,emotion_sd,ridge,387,2.5789595648518056,0.4303688866654174,0.1738594129309604,0.008837770636945809,True,True,0.4394088792204209,0.16948278399873531,0.008615294085265594,True,True
50,population,ridge,387,,0.4179076642219481,0.17999278231278035,0.00914954732429558,False,False,0.42640685033629,0.1739898574531446,0.008844401504659411,False,False
100,emotion,ridge,387,4.156844434592694,0.4335982836786554,0.17844752565197436,0.009070997513772296,True,True,0.4411918723107953,0.1750017000558335,0.008895836354763303,True,True
100,emotion_hist,ridge,387,6.060133825686466,0.44215252527341176,0.1743943758868126,0.00886496433226193,True,True,0.45249685370838144,0.1715607014129749,0.00872092056357918,True,True
100,emotion_sd,ridge,387,4.0700857123586465,0.43742910432060594,0.17704136207965612,0.008999518202294856,True,True,0.4447741588764904,0.17446587012520376,0.008868598588642486,True,True
100,population,ridge,387,,0.4179076642219481,0.17999278231278035,0.00914954732429558,False,False,0.42640685033629,0.1739898574531446,0.008844401504659411,False,False
