n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.8033826669602205,0.40307566563533404,0.17770390948391615,0.009033197379603933,False,False,0.4118637570244303,0.17545657232047937,0.008918958811444121,False,False
10,emotion_hist,ridge,387,0.9296606260377813,0.39826575166866796,0.18508659196909236,0.009408480221006911,False,False,0.4083410183310347,0.1821425136692627,0.009258824310449823,False,False
10,emotion_sd,ridge,387,0.8925469758280001,0.40492710903986306,0.17537539988186754,0.008914832584497882,False,False,0.4126705741398755,0.17500635688561164,0.008896073074724453,False,False
10,population,ridge,387,,0.40609656037299996,0.17871339527637004,0.009084512426310698,False,False,0.4134395141646292,0.17526028348505215,0.008908980889185819,False,False
25,emotion,ridge,387,1.3150309867583208,0.40607678422328763,0.18020014201070222,0.009160088010121475,False,False,0.4134069660015557,0.17619686348584127,0.008956589926226636,False,False
25,emotion_hist,ridge,387,1.757233307488902,0.4046046364557248,0.18229730267323485,0.009266692677719476,False,False,0.41313491958277043,0.18027375956592778,0.009163830200762568,False,False
25,emotion_sd,ridge,387,1.6464416894365448,0.40826972656811794,0.17872798510218216,0.009085254068836616,True,True,0.4154199670750824,0.1752538169046861,0.008908652174432232,True,False
25,population,ridge,387,,0.40609656037299996,0.17871339527637004,0.009084512426310698,False,False,0.4134395141646292,0.17526028348505215,0.008908980889185819,False,False
50,emotion,ridge,387,2.253414293150489,0.41239003091152354,0.18236788595086875,0.00927028062736233,True,True,0.41873659105231015,0.17873527667545502,0.009085624720336478,True,True
50,emotion_hist,ridge,387,2.5903507977087656,0.41695993237510576,0.180043889019638,0.009152145224205646,True,True,0.42470337379093237,0.17712667182108016,0.009003854740162394,True,True
50,emotion_sd,ridge,387,3.272880456568349,0.41126170986009886,0.17852078022440002,0.009074721252960709,True,True,0.41863236055168446,0.17582380697816397,0.00893762639820195,True,True
50,population,ridge,387,,0.40609656037299996,0.17871339527637004,0.009084512426310698,False,False,0.4134395141646292,0.17526028348505215,0.008908980889185819,False,False
100,emotion,ridge,387,4.2515252596725706,0.4229147602662129,0.18281186144043893,0.009292849169836385,True,True,0.43197049607324406,0.17991219410654974,0.0091454507955503,True,True
100,emotion_hist,ridge,387,6.929094805672655,0.4293369515937718,0.17863195405326854,0.009080372536280993,True,True,0.437211110819471,0.17835184675575516,0.009066133882144153,True,True
100,emotion_sd,ridge,387,4.923278804477355,0.42565241457350084,0.17819704759806435,0.009058264998731972,True,True,0.43373529455785065,0.17616426484309133,0.008954932844088586,True,True
100,population,ridge,387,,0.40609656037299996,0.17871339527637004,0.009084512426310698,False,False,0.4134395141646292,0.17526028348505215,0.008908980889185819,False,False
