n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.6602625754580062,0.4318694909838398,0.18663987062385828,0.00948743781240023,False,False,0.4385494433785295,0.18248129376285327,0.00927604547042639,False,False
10,emotion_joint,ridge,387,0.11003782949550832,0.43574710182969983,0.17451677922744943,0.008871186443745613,False,False,0.44303568177916103,0.16965031656334228,0.008623810244127833,False,False
10,emotion_mlp,ridge,387,0.08805023557696906,0.43572999675597157,0.17483350829072644,0.008887286686856457,False,False,0.44312251386977874,0.17033376008361506,0.008658551630709393,False,False
10,population,ridge,387,,0.43607996725154774,0.1745237305425091,0.008871539798948457,False,False,0.4437252769785327,0.16995920192630748,0.00863951176954412,False,False
25,emotion,ridge,387,1.2728069872527303,0.4379920016885078,0.18105020299030522,0.009203299038149804,True,False,0.4437638393289178,0.17770529932155027,0.009033268029021333,True,False
25,emotion_joint,ridge,387,0.2762230129721447,0.4348530827196473,0.17410187864178564,0.00885009586169765,False,False,0.44225669597334044,0.16975226797015447,0.008628992725388586,False,True
25,emotion_mlp,ridge,387,0.2842143444937922,0.43442832910282214,0.17318693656521103,0.008803586742159393,False,False,0.4423320821923456,0.1688226456754858,0.00858173736842649,False,False
25,population,ridge,387,,0.43607996725154774,0.1745237305425091,0.008871539798948457,False,False,0.4437252769785327,0.16995920192630748,0.00863951176954412,False,False
50,emotion,ridge,387,2.1293190459110494,0.44443356674930706,0.17430598632545552,0.008860471238348835,True,True,0.45105732407665416,0.17071434166524996,0.00867789767974081,True,True
50,emotion_joint,ridge,387,0.4484070819702752,0.4339557721796178,0.1735427856889132,0.008821675569698957,False,True,0.44178068265151205,0.1697356441292752,0.008628147688066077,False,False
50,emotion_mlp,ridge,387,0.5804600472797018,0.43540869253011866,0.17221058060042801,0.008753955779237686,False,False,0.44340137924203327,0.16805239343656825,0.008542583246683019,False,False
50,population,ridge,387,,0.43607996725154774,0.1745237305425091,0.008871539798948457,False,False,0.4437252769785327,0.16995920192630748,0.00863951176954412,False,False
100,emotion,ridge,387,3.9073824123594525,0.4482432686851143,0.18123910585361952,0.009212901510345527,True,True,0.4569208547447369,0.17685780081460736,0.00899018725879873,True,True
100,emotion_joint,ridge,387,0.8419237558377711,0.43456873565189963,0.17309598047745967,0.008798963184377683,False,False,0.4418735125094591,0.16979007050436837,0.008630914336196109,False,False
100,emotion_mlp,ridge,387,1.0148174038364335,0.43511298430242223,0.1712565174418958,0.008705458023343295,False,False,0.44328418094974964,0.16754513040135174,0.00851679761746532,False,False
100,population,ridge,387,,0.43607996725154774,0.1745237305425091,0.008871539798948457,False,False,0.4437252769785327,0.16995920192630748,0.00863951176954412,False,False
