n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.72626088735629,0.4137763841554522,0.18247628579184638,0.009275790900953452,False,False,0.423869507283951,0.17803485654504467,0.009050020364163226,False,False
10,emotion_hist,ridge,387,1.1289819886279422,0.41284524831066305,0.18961760425628998,0.00963880451965928,False,False,0.42325257562312524,0.18284618573812092,0.009294593971944444,False,False
10,emotion_sd,ridge,387,0.794381642186393,0.41851343718352724,0.18059551656608963,0.009180186028268963,True,False,0.4285420913344395,0.1743831612149872,0.008864394258455222,True,False
10,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.4265928502826286,0.17378927344550174,0.008834205246527038,False,False
25,emotion,ridge,387,1.5347007375945638,0.4151640090786134,0.18407769225952722,0.00935719496656769,False,False,0.42591434843099074,0.17883958030094063,0.009090926771592166,False,False
25,emotion_hist,ridge,387,1.800861333726442,0.4247221574937245,0.18199337984973846,0.009251243412361259,True,True,0.43467320962824035,0.1760817873806536,0.008950740279053116,True,True
25,emotion_sd,ridge,387,1.7290083519664257,0.41919067542792476,0.18309075950968054,0.009307026355445676,True,False,0.43039945988795875,0.17729266647730485,0.009012292722748099,True,True
25,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.4265928502826286,0.17378927344550174,0.008834205246527038,False,False
50,emotion,ridge,387,2.397607133719321,0.4232255731740067,0.1753518611532028,0.008913636043674943,True,False,0.4334858336921677,0.1708658281410942,0.008685598170071132,True,True
50,emotion_hist,ridge,387,4.258281710011165,0.43467519658282455,0.17593602008591774,0.008943330511036959,True,True,0.44274834542966457,0.17264682043805682,0.008776131096424526,True,True
50,emotion_sd,ridge,387,2.8508752328643565,0.42845570318346865,0.1748446265921023,0.008887851861877905,True,True,0.4377481839976906,0.1712259581446028,0.008703904606960779,True,True
50,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.4265928502826286,0.17378927344550174,0.008834205246527038,False,False
100,emotion,ridge,387,3.3889183147086626,0.43517157296707615,0.18198716346052934,0.009250927415538918,True,True,0.44484745824203575,0.17701350548352104,0.008998102171933212,True,True
100,emotion_hist,ridge,387,6.314537314088716,0.442043967576674,0.18204371102430664,0.009253801889749528,True,True,0.45302931356740284,0.17773647416052427,0.009034852735145961,True,True
100,emotion_sd,ridge,387,4.770918363600641,0.43430408094691847,0.18029427366454506,0.0091648729909995,True,True,0.44422455852489295,0.17564761759747194,0.008928670188647509,True,True
100,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.4265928502826286,0.17378927344550174,0.008834205246527038,False,False
