n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.7481044303017171,0.3254966410450056,0.2504420898673132,0.012730686885291654,False,True,0.33222737509826433,0.2522251821998744,0.012821326562453857,False,True
10,emotion_joint,ridge,387,1.1306345571977432,0.1323833256249543,0.16461439709035255,0.008367820070814148,False,True,0.13342876572139595,0.16342174034912021,0.008307193921502323,False,True
10,emotion_mlp,ridge,387,0.7046493017702792,0.14436537782411132,0.17360148294983724,0.008824659319156741,False,True,0.14653049172862917,0.17388873268869154,0.008839261043991306,False,True
10,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.4265928502826286,0.17378927344550174,0.008834205246527038,False,False
25,emotion,ridge,387,1.077300863778429,0.37953720213424547,0.20656798490111183,0.010500440791302208,False,True,0.3901484902301137,0.2045652657498085,0.01039863685551838,False,True
25,emotion_joint,ridge,387,0.7261111018758443,0.1892209998357739,0.15369895771437353,0.007812957104351141,False,True,0.1905803805604755,0.15423037471963222,0.007839970548868603,False,True
25,emotion_mlp,ridge,387,0.34766154833904606,0.21548009691602296,0.16965906246908546,0.008624254823501867,False,True,0.21839073234919473,0.16867753322379916,0.008574360887953266,False,True
25,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.4265928502826286,0.17378927344550174,0.008834205246527038,False,False
50,emotion,ridge,387,2.7796689832254167,0.4038159675396949,0.1814384259847319,0.009223033522023241,False,True,0.41232044485790204,0.17908540486582886,0.009103422736491529,False,True
50,emotion_joint,ridge,387,0.9033784732658813,0.22356730866341146,0.1533305919445534,0.007794232019932128,False,True,0.22654970543403294,0.15204298397499022,0.007728779228429711,False,True
50,emotion_mlp,ridge,387,0.637267515017368,0.24464483630180667,0.1628108716162416,0.00827614171869403,False,True,0.24783597528391427,0.16013673489730124,0.008140207709856587,False,True
50,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.4265928502826286,0.17378927344550174,0.008834205246527038,False,False
100,emotion,ridge,387,4.1791727341839975,0.4186956967959572,0.18306437583170204,0.009305685197721729,True,False,0.42859255834017246,0.17797489105918163,0.009046972147208754,True,False
100,emotion_joint,ridge,387,1.4814549556788443,0.24672066736444268,0.15019941857278973,0.007635065532379634,False,True,0.2508130434559981,0.1465229943548381,0.007448182386655038,False,True
100,emotion_mlp,ridge,387,0.5782940060106565,0.2735702613430575,0.1507792712596425,0.00766454110096249,False,True,0.27598312104588396,0.14820182611588795,0.007533522201118062,False,True
100,population,ridge,387,,0.415915854809294,0.17961937734059805,0.009130566082824617,False,False,0.4265928502826286,0.17378927344550174,0.008834205246527038,False,False
