n_train,mediator,head,n,eff_dof,srocc_mean,srocc_sd,srocc_sem,srocc_beats_pop,srocc_sig_vs_pop,plcc_mean,plcc_sd,plcc_sem,plcc_beats_pop,plcc_sig_vs_pop
10,emotion,ridge,387,0.3462589611217141,0.3544741995745334,0.24342195524101612,0.012373833387274082,False,True,0.36065369824061716,0.24296295772644833,0.012350501232354812,False,True
10,emotion_hist,ridge,387,0.48280890420584893,0.35488492332485255,0.2444066125915479,0.01242388633334861,False,True,0.3642500248189542,0.24247591989763342,0.012325743708157422,False,True
10,emotion_sd,ridge,387,0.30840823774161524,0.3466267251383365,0.24613718957104747,0.01251185650509001,False,True,0.35231882653972,0.24634999154811826,0.012522673837512427,False,True
10,population,ridge,387,,0.4391185776044744,0.17688802399075385,0.008991723589183147,False,False,0.448530517821121,0.17198924753745307,0.008742704787347347,False,False
25,emotion,ridge,387,1.13436432351604,0.4032444025554942,0.20684799081927618,0.010514674292037118,False,True,0.4109247459739327,0.2035571734104092,0.010347392642011163,False,True
25,emotion_hist,ridge,387,1.2529136664983707,0.406682421700004,0.20501081766653664,0.010421285532288377,False,True,0.4144719692381704,0.20022658006371416,0.010178089067434405,False,True
25,emotion_sd,ridge,387,1.1537250946520872,0.402267293304579,0.19944433787197582,0.010138325462136425,False,True,0.4102686124949997,0.19666973142624064,0.009997284290066343,False,True
25,population,ridge,387,,0.4391185776044744,0.17688802399075385,0.008991723589183147,False,False,0.448530517821121,0.17198924753745307,0.008742704787347347,False,False
50,emotion,ridge,387,2.465317230929764,0.4282427445623744,0.17918832950126648,0.009108654689743608,False,True,0.4351242608275888,0.177760639022386,0.009036081104108027,False,True
50,emotion_hist,ridge,387,2.8042601547026953,0.43425187712721847,0.17872781062266382,0.00908524519954425,False,False,0.4442672909755333,0.1745082204777138,0.008870751378046108,False,False
50,emotion_sd,ridge,387,2.301151158193597,0.4288474760769222,0.17712016661349372,0.009003524061876843,False,True,0.43547467827187436,0.17401501482349355,0.008845680325663258,False,True
50,population,ridge,387,,0.4391185776044744,0.17688802399075385,0.008991723589183147,False,False,0.448530517821121,0.17198924753745307,0.008742704787347347,False,False
100,emotion,ridge,387,3.9748712617081274,0.44563221778601864,0.1711206026175128,0.00869854908454149,True,False,0.45408260386629734,0.16893720065496765,0.008587560525291645,True,False
100,emotion_hist,ridge,387,6.1097835609288875,0.4499716829200557,0.1758125403594626,0.008937053683787135,True,False,0.45910302658566454,0.17327666588212418,0.008808147939674785,True,False
100,emotion_sd,ridge,387,5.048536384723475,0.4443188228017552,0.17391052004563393,0.00884036855758632,True,False,0.4524648371102344,0.17150294546690747,0.008717984663844684,True,False
100,population,ridge,387,,0.4391185776044744,0.17688802399075385,0.008991723589183147,False,False,0.448530517821121,0.17198924753745307,0.008742704787347347,False,False
