mediator,head,eff_dof,art_srocc_mean,art_srocc_sd,art_srocc_sem,art_plcc_mean,art_plcc_sd,art_plcc_sem,fashion_srocc_mean,fashion_srocc_sd,fashion_srocc_sem,fashion_plcc_mean,fashion_plcc_sd,fashion_plcc_sem,landscape_srocc_mean,landscape_srocc_sd,landscape_srocc_sem,landscape_plcc_mean,landscape_plcc_sd,landscape_plcc_sem,avg_srocc_mean,avg_srocc_sd,avg_srocc_sem,avg_srocc_sig,avg_plcc_mean,avg_plcc_sd,avg_plcc_sem,avg_plcc_sig,avg_srocc_best,avg_plcc_best
population,ridge,,0.4650220253479835,0.18798933860356865,0.01655153835530666,0.47422536369404855,0.18455162356214455,0.01624886442291555,0.3260675019657938,0.14661541436080683,0.012908767445527925,0.3468323837548469,0.14313938173384447,0.012602719837845281,0.4566580371141045,0.16798350755319535,0.014790123147296812,0.4587208333384049,0.16368742860850288,0.01441187448724672,0.415915854809294,0.17961937734059805,0.009130566082824617,True,0.42659286026243337,0.17378926660074454,0.008834204898588474,True,False,False
population,mlp,,0.4183863158018741,0.1718563293610356,0.01513110609437187,0.4254591898146369,0.16793053786738996,0.014785459426509297,0.2612848264499926,0.1285238258127557,0.011315891892127736,0.2738627578217242,0.12831411571221943,0.011297427947319456,0.377339578892712,0.14653100193086732,0.012901335345483387,0.37943152264987035,0.14424836667201435,0.012700360517236595,0.3523369070481929,0.16379558205289918,0.008326197363287989,True,0.3595844900954105,0.1604643549218459,0.00815686157164172,True,False,False
identity,ridge,16.1530142257649,0.4903822399948773,0.16472187280015615,0.014502952219855161,0.4983135875695078,0.16098363505274418,0.014173818738578208,0.3094720204112461,0.17396477105995733,0.015316744034846909,0.3248528393247126,0.16864348129828627,0.014848230595498453,0.41276548504737837,0.19878947807292652,0.017502437613730586,0.42024864814975876,0.19560517048923212,0.01722207496392226,0.40420658181783387,0.19401800780946232,0.009862489603241044,True,0.41447169168132636,0.18909550729877073,0.009612264839793716,True,False,False
identity,mlp,,0.348121013893028,0.15705860949003567,0.013828239507174413,0.350869785178768,0.16114901390553396,0.014188379534660792,0.1961317362891541,0.13559202067215856,0.011938211749132472,0.20137256819073904,0.13262137982061467,0.011676661406121499,0.23842023452909417,0.17006787014806277,0.014973641040873037,0.24032918985973678,0.17031978887102817,0.014995821247668564,0.2608909949037588,0.16727463507930881,0.00850304756750092,True,0.26419051440974795,0.16758101549853796,0.008518621759471035,True,False,False
random,ridge,5.2313815952925715,0.45533688071490885,0.17036107975272344,0.014999456707089723,0.4629400757353695,0.16695713523063507,0.014699756103134239,0.29783771284899735,0.14066506556973174,0.01238486844692236,0.3121905945348146,0.14242142387832532,0.012539507173385736,0.4172645313894782,0.17296914278231856,0.015229083852905861,0.41827219733947363,0.175013399305675,0.015409070603780986,0.3901463749844615,0.1749867056281022,0.008895074145165978,True,0.39780095586988595,0.17359184304693884,0.008824169295353358,True,False,False
random,mlp,,0.3398798597232103,0.17775616516327802,0.015650557672297543,0.3450302335487102,0.1770273734281289,0.015586391137924075,0.19037630514042675,0.12046905242026977,0.01060670863876156,0.194700707096223,0.12279169184875505,0.010811205637749309,0.27016905834805144,0.1575622798447704,0.013872585209205967,0.2746908434342553,0.15788790081870827,0.01390125453736819,0.26680840773722947,0.16511608945915954,0.008393322527144096,True,0.2714739280263962,0.16564996800008192,0.008420461098551402,True,False,False
shuffled,ridge,5.657141578167623,0.4726808813887587,0.16863867731327106,0.014847807628202392,0.4807296709523982,0.1688054227743865,0.01486248874743887,0.31757857975391296,0.14740569758853495,0.012978348003938642,0.33061167288025844,0.14503562991948693,0.012769675181212003,0.4397633696843614,0.1752025563994043,0.015425724957242174,0.44385318894265996,0.1700793973349808,0.014974655953089971,0.41000761027567767,0.17685725860610746,0.00899015969679171,True,0.4183981775917722,0.17351507331738433,0.008820266870686063,True,False,False
shuffled,mlp,,0.38026537075855615,0.17618884596771064,0.015512562911673657,0.3860542505302085,0.17331194311631756,0.015259265739381675,0.19668735203572132,0.12926091270424822,0.01138078877429327,0.2021970298321864,0.13251638575231917,0.01166741719386254,0.32887661834147075,0.17421109239621382,0.015338431419222346,0.3343449649854428,0.1700837497549664,0.014975039162302077,0.30194311371191607,0.17858776590253173,0.009078126326343324,True,0.30753208178261254,0.17715935506327996,0.009005516122732161,True,False,False
pca,ridge,4.176332682079274,0.501852576408603,0.16658172756910522,0.014666703301550685,0.5140757103280443,0.16195256414849804,0.014259128188630383,0.335935125726732,0.15737774306516633,0.013856337651720686,0.35116717812321746,0.15535059717623415,0.013677857408204225,0.46509503998169394,0.1779753537644836,0.01566985615255631,0.4728335342798562,0.17561299216516668,0.015461861811437569,0.434294247372343,0.1816433328235573,0.00923344952201399,False,0.44602547424370603,0.17810708339808562,0.009053691861439348,False,True,True
pca,mlp,,0.41802510896715417,0.18147210806260086,0.015977728201653846,0.4259822234206604,0.18162698004498914,0.015991363919379668,0.25720236540696045,0.14671244182793047,0.012917310237664674,0.261110000818172,0.14864302197764817,0.013087288341919995,0.309235117954071,0.19555833211718543,0.017217951075210326,0.31542276143205666,0.1941708954159613,0.017095794085104105,0.3281541974427285,0.18772602964217738,0.009542650378216073,True,0.3341716618902963,0.1883790280677913,0.00957584415366126,True,False,False
