fold,domain,user_id,mediator,head,eff_dof,ccc,srocc,plcc,seed,stage2_variant
0,art,3,population,ridge,,0.06964841706301013,0.10003716909823884,0.09597848538386843,0,B
0,art,3,identity,ridge,25.93579358411934,0.08210170253742581,0.08514427027068518,0.14161547164069488,0,B
0,art,3,random,ridge,6.232716701774098,-0.019491325068092095,-0.05305595207315997,-0.05156341598238194,0,B
0,art,3,shuffled,ridge,5.198629466629431,0.014686595252674822,0.0038701941032129616,0.04214397714225578,0,B
0,art,3,pca,ridge,5.2444573694974785,0.13689595262513307,0.2881579963936537,0.30186317870702695,0,B
0,art,3,emotion,ridge,6.950357246520134,-0.002683929705213008,-0.02856105268573616,-0.007469636314023751,0,B
0,art,3,population,mlp,,0.13956801384933168,0.20776573660412873,0.17980011043143582,0,B
0,art,3,identity,mlp,,0.002459641087049556,-0.006662612633379277,0.0025956558983863775,0,B
0,art,3,random,mlp,,0.17835937960105674,0.18704305172236818,0.20647033947079044,0,B
0,art,3,shuffled,mlp,,-0.0036318665289486927,-0.03478275713014181,-0.0046978022064744895,0,B
0,art,3,pca,mlp,,0.10504809222647772,0.15250524358610065,0.15099568202810848,0,B
0,art,3,emotion,mlp,,0.3036961530998029,0.25704947417162544,0.31564830567265856,0,B
0,art,3,gt_emotion,ridge,6.724840859253102,0.7842236900183687,0.8127491571512181,0.8343545768710184,0,B
0,art,14,population,ridge,,0.32090657083753593,0.6387189479847772,0.6318512530494379,0,B
0,art,14,identity,ridge,26.146016696019746,0.5198294282687411,0.6272946258729103,0.6176579968666782,0,B
0,art,14,random,ridge,6.200287988809739,0.2359511702749347,0.3639391657115222,0.326715579276203,0,B
0,art,14,shuffled,ridge,5.190692725725199,0.48687852443089513,0.547473383986952,0.5467846527643846,0,B
0,art,14,pca,ridge,5.238415743097986,0.47257491052001777,0.6282383742212819,0.5775297948395024,0,B
0,art,14,emotion,ridge,6.94495344848599,0.42798968872402404,0.543152009970724,0.5180102602689846,0,B
0,art,14,population,mlp,,0.3288875804974066,0.6066315041401419,0.6155006552043506,0,B
0,art,14,identity,mlp,,0.18506426897895548,0.22009204903340446,0.2700496634156392,0,B
0,art,14,random,mlp,,0.0980050226419847,0.10460705377213944,0.10710188594023283,0,B
0,art,14,shuffled,mlp,,0.4557315021177221,0.5127037079943131,0.48159094758012894,0,B
0,art,14,pca,mlp,,0.478845593940129,0.5458839130844313,0.5086144692897827,0,B
0,art,14,emotion,mlp,,0.29776271326605935,0.3176458256756086,0.2986747261677954,0,B
0,art,14,gt_emotion,ridge,4.82953546828118,0.5782243342623432,0.7623983691861446,0.7092215305826629,0,B
0,art,15,population,ridge,,0.16769022027659541,0.22654084980961536,0.2301194066852365,0,B
0,art,15,identity,ridge,26.20570194211716,0.16589171685666565,0.17635775016824487,0.17415012026771734,0,B
0,art,15,random,ridge,6.2168781628392615,0.15444938041216372,0.31538352250804164,0.3091557870826553,0,B
0,art,15,shuffled,ridge,5.087402283030974,0.20038003760958764,0.30115170165736727,0.29228752610305264,0,B
0,art,15,pca,ridge,5.2412453125490295,0.15868513626812983,0.26015556099796194,0.22941301440324374,0,B
0,art,15,emotion,ridge,6.9481156529484185,0.15843924569334372,0.3323236376250757,0.2525779644301824,0,B
0,art,15,population,mlp,,0.17884080290194312,0.25457966103780966,0.236714373342037,0,B
0,art,15,identity,mlp,,0.097274425709148,0.08969233364473521,0.13641217411728196,0,B
