mediator,head,fold,domain,user_id,ccc,srocc,plcc,eff_dof
emotion,mlp,0,art,3,0.010454257117411365,0.0388162505626042,0.012312105439713566,
emotion,mlp,0,art,14,0.21232315860812348,0.201399208940219,0.24296014143992153,
emotion,mlp,0,art,15,0.12252748012498427,0.13890186345179337,0.1317673063031791,
emotion,mlp,0,art,19,0.36562045362378126,0.3945631983994889,0.41717359646716146,
emotion,mlp,0,art,21,0.27680795562798516,0.2629591815829897,0.28969200591196526,
emotion,mlp,0,art,22,0.1464030429822343,0.21328491443668018,0.15964498454436052,
emotion,mlp,0,art,30,-0.0633910255864548,-0.06817910840021747,-0.07305195493687566,
emotion,mlp,0,art,50,0.06047411438107456,0.05153010241165699,0.0720382507048304,
emotion,mlp,0,art,57,0.17440268014345583,0.2375967547127179,0.20031891139305769,
emotion,mlp,0,art,62,0.09504575541005865,0.0867645375458298,0.11305695779601323,
emotion,mlp,0,art,63,0.1272561895014972,0.1267676554052346,0.13200667172462657,
emotion,mlp,0,art,79,0.26839902382548037,0.2661157326648156,0.2874793888799358,
emotion,mlp,0,art,80,0.32875211388821207,0.3275821281433045,0.3923609344519048,
emotion,mlp,0,art,85,0.06816295603059777,0.025612479163293702,0.0781914816742688,
emotion,mlp,0,art,86,0.16260007596092807,0.1637761697315615,0.18063890525213347,
emotion,mlp,0,art,98,0.3419292544128989,0.3214367179612654,0.3499028449330765,
emotion,mlp,0,art,99,0.48932972670487107,0.5294957236869976,0.5314107432778655,
emotion,mlp,0,art,105,0.12955362124739464,0.17710758816132308,0.15160035633077606,
emotion,mlp,0,art,109,0.10526733042810081,0.09432708874080686,0.15045913500605265,
emotion,mlp,0,art,110,0.11409491691401234,0.1407349488054237,0.12201319372942786,
emotion,mlp,0,art,116,0.31353308954302933,0.3260994376993419,0.326426391377784,
emotion,mlp,0,art,117,0.4245678005727836,0.5386763839643459,0.4986540399951629,
emotion,mlp,0,art,126,0.15722622637376235,0.15511139001095844,0.1630245799779701,
emotion,mlp,0,art,127,0.4177668702869621,0.5374724732294268,0.5110559358750196,
emotion,mlp,0,art,136,0.23966552150394352,0.239680870658764,0.2484579305766348,
emotion,mlp,0,art,144,0.14338962729551455,0.14492921977424209,0.15320171158779708,
emotion,mlp,0,fashion,3,0.06625751109050987,0.07118345857913251,0.08044505311511176,
emotion,mlp,0,fashion,14,0.04618590712244917,0.021721995595803165,0.05120899335419273,
emotion,mlp,0,fashion,15,-0.05512470738835203,-0.05621950076651633,-0.05725696670410383,
emotion,mlp,0,fashion,19,0.08831849268537334,0.0335186045103931,0.11564436732192246,
emotion,mlp,0,fashion,21,-0.026880239637810933,-0.10082459139308347,-0.02089400588437723,
emotion,mlp,0,fashion,22,0.025292345357275967,0.08878498664308887,0.03518580456328047,
emotion,mlp,0,fashion,30,0.1101248945214116,0.10757617501154126,0.13260813081342038,
emotion,mlp,0,fashion,50,0.06854438705389417,0.0905236713501355,0.07788884674843687,
emotion,mlp,0,fashion,57,0.02319282510485797,0.08012923296657104,0.02858833468400614,
emotion,mlp,0,fashion,62,-0.04302956409759057,-0.03378310347643786,-0.045649527061808436,
emotion,mlp,0,fashion,63,-0.054921507755340195,-0.034194797208030474,-0.05957517138620594,
emotion,mlp,0,fashion,79,0.08277219637426056,0.06050168199252593,0.0901433197331775,
emotion,mlp,0,fashion,80,0.1866909978933403,0.26416545008198783,0.24793080213847737,
emotion,mlp,0,fashion,85,0.06665650550803646,0.0694402620307351,0.06088539974378416,
emotion,mlp,0,fashion,86,0.10815006104962625,0.08730839064134388,0.10931239934598956,
emotion,mlp,0,fashion,98,0.009121231039680303,0.008900850171370997,0.004478282235209158,
emotion,mlp,0,fashion,99,0.16400883804489783,0.15490961496633726,0.18923250136733027,
emotion,mlp,0,fashion,105,-0.051617385770491936,-0.07566870513777375,-0.08513440224808301,
emotion,mlp,0,fashion,109,0.15881824824586946,0.19347400228536157,0.18878279758991554,
emotion,mlp,0,fashion,110,0.06708721755037443,0.08597669066591063,0.07097685982459623,
emotion,mlp,0,fashion,116,0.0893271368938507,0.15102038821109645,0.09316191833067596,
emotion,mlp,0,fashion,117,0.19144851612096558,0.31451421945685115,0.26103275020271255,
emotion,mlp,0,fashion,126,0.1175943372384275,0.11839835631757771,0.1402227396860648,
emotion,mlp,0,fashion,127,0.061759197459348804,0.12585515079895207,0.07594743475728,
emotion,mlp,0,fashion,136,0.1329208499521208,0.10243158384046684,0.15483870119346585,
emotion,mlp,0,fashion,144,0.1183033410859103,0.10307367536583834,0.1223414980918987,
emotion,mlp,0,landscape,3,0.11856310920184031,0.14682165875472009,0.13875404997002103,
emotion,mlp,0,landscape,14,0.09322178633469176,0.10445882003161017,0.09741626329745486,
emotion,mlp,0,landscape,15,0.05887778779299773,0.07281456436945648,0.06069980794950106,
emotion,mlp,0,landscape,19,0.09001857489375158,0.11060019655867802,0.09236253068815288,
emotion,mlp,0,landscape,21,0.19924150666533905,0.236378244424256,0.21441693350754396,
emotion,mlp,0,landscape,22,0.05900745018719433,0.00216094632721614,0.04708529722633683,
emotion,mlp,0,landscape,30,0.2540133443896075,0.2526440202499272,0.3074724584927833,
emotion,mlp,0,landscape,50,0.1421774025829796,0.18555601976040045,0.168533921211142,
emotion,mlp,0,landscape,57,0.07309629434419113,0.0846734139757776,0.0773935009229918,
emotion,mlp,0,landscape,62,0.1791056341290539,0.08385659382423806,0.18334816928737493,
emotion,mlp,0,landscape,63,0.1643219920525871,0.1853271943676036,0.18630982194855453,
emotion,mlp,0,landscape,79,0.2461501829027257,0.3073334101124699,0.2989777387616684,
emotion,mlp,0,landscape,80,0.3788848851720395,0.3788890989495073,0.4188834120531019,
emotion,mlp,0,landscape,85,0.19707019885346547,0.15989727771293316,0.20995095273386263,
emotion,mlp,0,landscape,86,0.18924857316965504,0.19901773013316834,0.19928179418442013,
emotion,mlp,0,landscape,98,0.0927594763701698,0.1191116316055233,0.10479513571679706,
emotion,mlp,0,landscape,99,0.3286911915925904,0.37472338703307506,0.3519756020844634,
emotion,mlp,0,landscape,105,-0.0008510507763513642,-0.0017355794333042001,-0.009465500230114702,
