mediator,head,eff_dof,art_srocc_mean,art_srocc_sd,art_srocc_sem,art_plcc_mean,art_plcc_sd,art_plcc_sem,fashion_srocc_mean,fashion_srocc_sd,fashion_srocc_sem,fashion_plcc_mean,fashion_plcc_sd,fashion_plcc_sem,landscape_srocc_mean,landscape_srocc_sd,landscape_srocc_sem,landscape_plcc_mean,landscape_plcc_sd,landscape_plcc_sem,avg_srocc_mean,avg_srocc_sd,avg_srocc_sem,avg_srocc_sig,avg_plcc_mean,avg_plcc_sd,avg_plcc_sem,avg_plcc_sig,avg_srocc_best,avg_plcc_best
population,ridge,,0.4650220253479835,0.18798933860356865,0.01655153835530666,0.47422535727001563,0.18455162450255846,0.016248864505714382,0.3260675019657938,0.14661541436080683,0.012908767445527925,0.3468323769412648,0.1431393831885784,0.012602719965927463,0.4566580371141045,0.16798350755319535,0.014790123147296812,0.45872082815757703,0.1636874258465347,0.014411874244068982,0.415915854809294,0.17961937734059805,0.009130566082824617,False,0.4265928541229525,0.17378926660313393,0.008834204898709935,False,False,False
population,mlp,,0.4183863158018741,0.1718563293610356,0.01513110609437187,0.42545918981463665,0.16793053786738998,0.014785459426509301,0.2612848264499926,0.1285238258127557,0.011315891892127736,0.2738627578217243,0.12831411571221937,0.01129742794731945,0.377339578892712,0.14653100193086732,0.012901335345483387,0.37943152264987035,0.1442483666720143,0.01270036051723659,0.3523369070481929,0.16379558205289918,0.008326197363287989,True,0.3595844900954105,0.16046435492184583,0.008156861571641714,True,False,False
identity,ridge,15.884121507506462,0.4877541473954055,0.16446319383347605,0.014480176806789074,0.4957950072891532,0.16088238938043634,0.014164904554183708,0.30378558519046134,0.17410586905304526,0.015329167020436407,0.3192116889621871,0.1690580654975633,0.014884732698898628,0.40787271993444024,0.1991721231882572,0.017536127637589983,0.4142731228590612,0.1960250077443567,0.017259039573100626,0.3998041508401024,0.19458652157189651,0.009891388781902918,True,0.4097599397034672,0.18979826179948545,0.009647987858678316,True,False,False
identity,mlp,,0.3099805829864305,0.16608724575981437,0.014623166605835519,0.3145471845335218,0.16887417265595658,0.014868541836992686,0.16836627629755005,0.13787776197893573,0.012139460049650259,0.17707023166743893,0.14046343428822944,0.012367115802468132,0.24957355010751833,0.17228096365326723,0.015168493059117098,0.251241819816686,0.1707636851199019,0.015034904133132106,0.24264013646383298,0.16931858246686526,0.008606947252313393,True,0.24761974533921557,0.16980556089411938,0.00863170175695975,True,False,False
random,ridge,2.982405366373507,0.2756925307829156,0.12944932137810675,0.011397377233059103,0.27554530269424204,0.12702969614872706,0.011184341110441535,0.1424724542351115,0.10791302576824441,0.009501212134199119,0.15146688121086302,0.10839141823811116,0.009543332242566472,0.17161970748596997,0.11852612354769665,0.010435643290083238,0.17333302545787102,0.12165344109512444,0.01071098824698332,0.19659489750133238,0.131739244007211,0.006696682122599278,True,0.20011506978765872,0.13071599243408516,0.006644667321935185,True,False,False
random,mlp,,0.21379315851277475,0.12353576205730525,0.010876717366698102,0.21685229005353246,0.1193565083381456,0.010508754594218217,0.0726109446540256,0.08240996949546676,0.007255793233255072,0.07348311846046297,0.0861667880987245,0.007586562667668995,0.12546788682956062,0.10345011426031354,0.00910827468599824,0.12778270758320018,0.1023306290101043,0.009009709505681751,0.1372906633321203,0.11942492750060825,0.006070710235305907,True,0.13937270536573187,0.11899819042838937,0.00604901797083214,True,False,False
shuffled,ridge,5.336291058830091,0.29763489648963526,0.14143473877854953,0.01245263439435018,0.30771089888385716,0.14276633145761125,0.012569874592463825,0.1789988092699481,0.11699729699543376,0.010301037617727785,0.18552858624205573,0.11520152071907569,0.010142928332720033,0.2571882311469777,0.14927304216761855,0.013142758526646281,0.26218545068947163,0.14889711775566633,0.013109660227724956,0.24460731230218702,0.14488857367816077,0.007365100114483258,True,0.2518083119384615,0.14512094529777683,0.007376912227742365,True,False,False
shuffled,mlp,,0.2669157502593431,0.14175621607779787,0.01248093889229881,0.27194228724095204,0.1420755606853276,0.012509055617211785,0.11472024566758958,0.1122588906953649,0.009883844205584316,0.11737130862213871,0.11229258622438967,0.009886810931491215,0.20457298011969602,0.13448984569156985,0.011841170653073597,0.2096035555088162,0.13397841349793765,0.01179614155923284,0.19540299201554293,0.1440595599198318,0.007322958976839516,True,0.19963905045730232,0.14446307618184012,0.007343470861193591,True,False,False
pca,ridge,5.630283435166849,0.4539496541978952,0.16029686940767515,0.014113352395114775,0.46684146638671276,0.15739791613411583,0.013858113791404681,0.25893293737149503,0.1654571653059637,0.01456769111517043,0.2745273392706396,0.16518063469831973,0.01454334395275774,0.4192218581666061,0.18217477020742626,0.01603959415387907,0.42889611585108084,0.1806953329505185,0.015909336966509438,0.37736814991199874,0.18930689379253884,0.009623010219156135,True,0.3900883071694778,0.18715041259175275,0.00951339011913313,True,False,False
pca,mlp,,0.38934109339228606,0.1736116580833441,0.015285654170817464,0.3931527354036439,0.1752260914165382,0.015427797099958767,0.1967553816241066,0.1608389259980196,0.01416107781673963,0.2055433015085195,0.16093558265410807,0.01416958796078518,0.3126266537193487,0.19549200629568148,0.01721211141224473,0.32068888654223754,0.19546579588510987,0.017209803714270437,0.2995743762452472,0.1937248429834528,0.009847587197628292,True,0.30646164115146696,0.1934500128511892,0.009833616796876785,True,False,False
