backbone,head,variant,stage1,n_train,mediator,fold,domain,user_id,seed,srocc,plcc,ccc,eff_dof,recorded_at,experiment
qwen8b,mlp,C,mean,100,population,0,art,3,2,0.15382796815302152,0.0828110948976043,0.06667376801131791,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,3,2,0.3052554361660755,0.25842307127443487,0.2226173035600011,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,3,2,0.07681600447896106,0.06000301045441365,0.04375580643947602,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,3,2,0.2202581352917149,0.25369127869336283,0.14302044414303633,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,3,2,0.1400618346972893,0.13263867121017647,0.08660071328999959,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,3,2,-0.0024984797375172283,0.015562998154954131,0.005399104422002337,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,3,2,-0.14510778397109864,-0.15641560899516913,-0.08657690179285499,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,3,2,0.21653491058482646,0.1673743672004655,0.08987714094930793,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,14,2,0.5903890983550091,0.6036796157419828,0.32953558992590914,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,14,2,0.5014283987795572,0.5119135158142094,0.49917204037387203,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,14,2,0.554377648219776,0.5447712929524438,0.4399677002109342,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,shuffled,0,art,14,2,0.5835345050878888,0.5688898780084464,0.4305473448306489,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,pca,0,art,14,2,0.5661993380572732,0.5264763179620899,0.3894172207084789,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion,0,art,14,2,0.5603878350699321,0.5515896795313356,0.46321848429476875,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_mlp,0,art,14,2,0.6925126038419601,0.6835842594552212,0.5391356828572291,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,emotion_joint,0,art,14,2,0.6479577476056786,0.6127015972309906,0.5250583295590213,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,population,0,art,15,2,0.21602629559904252,0.24380429536199574,0.16851945021683373,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,identity,0,art,15,2,0.16738320642285692,0.14827384084405007,0.14291550688098142,,2026-08-22,efficiency
qwen8b,mlp,C,mean,100,random,0,art,15,2,0.39567648193423444,0.31046608958793404,0.31039796139918746,,2026-08-22,efficiency
