experiment,backbone,variant,n_train,seed,fold,domain,kind,stage,component,mediator,head,lr,alpha,criterion,score,lower_is_better,selected,rank,n_candidates,tie_size,edge,at_grid_edge,margin,n_val_scored,n_val_kind,n_val_users,note
efficiency,Qwen3-VL 8B,C,100,2,0,art,selection,stage1,stage1_ridge,emotion,,,0.01,val_mse,0.747270972965193,True,0,17,17,1,,0,0.001286662995041099,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,2,0,art,selection,stage1,stage1_ridge,emotion,,,0.03162277660168379,val_mse,0.74701974292579,True,0,16,17,1,,0,0.001286662995041099,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,2,0,art,selection,stage1,stage1_ridge,emotion,,,0.1,val_mse,0.7461880684282832,True,0,15,17,1,,0,0.001286662995041099,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,2,0,art,selection,stage1,stage1_ridge,emotion,,,0.31622776601683794,val_mse,0.7437503177305009,True,0,14,17,1,,0,0.001286662995041099,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,2,0,art,selection,stage1,stage1_ridge,emotion,,,1.0,val_mse,0.7366002835697637,True,0,13,17,1,,0,0.001286662995041099,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,2,0,art,selection,stage1,stage1_ridge,emotion,,,3.1622776601683795,val_mse,0.7192260313957509,True,0,11,17,1,,0,0.001286662995041099,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,2,0,art,selection,stage1,stage1_ridge,emotion,,,10.0,val_mse,0.6891626788197533,True,0,9,17,1,,0,0.001286662995041099,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,2,0,art,selection,stage1,stage1_ridge,emotion,,,31.622776601683793,val_mse,0.6567824297798638,True,0,7,17,1,,0,0.001286662995041099,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,2,0,art,selection,stage1,stage1_ridge,emotion,,,100.0,val_mse,0.6348063712749065,True,0,4,17,1,,0,0.001286662995041099,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,2,0,art,selection,stage1,stage1_ridge,emotion,,,316.2277660168379,val_mse,0.6250260115003249,True,0,2,17,1,,0,0.001286662995041099,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,2,0,art,selection,stage1,stage1_ridge,emotion,,,1000.0,val_mse,0.6237393485052838,True,1,1,17,1,,0,0.001286662995041099,235.0,images,,
